code,price,frequency,name
"FTES","55","110","Fluid Therapy - Elective Surgery"
"0029","89","109","Rescue Feline  Neuter"
"107745","58.56","108","107745"
"BLOODC","50","108","Blood and urine collection(cysto/cath)"
"E-COL 2","14","108","E-COL 2"
"0024","165","108","0024"
"8511","11.4","106","8511"
"104229","34","106","104229"
"134072","28.2","106","134072"
"128.311B","33.9","106","128.311B"
"SCRAP","51.5","106","Skin Tape impression"
"04-01","95","105","04-01"
"124179","35.99","104","124179"
"128550","44","104","128550"
"0007","249","103","Canine - Neuter <10kg"
"OMEGAD","15.5","103","OMEGAD"
"RH","45","103","RH"
"SCARS2","18","102","SCARS2"
"CAN76","8.22","102","CAN76"
"VACCLE","30","102","VACCLE"
"CYSTC","34.7","102","CYSTC"
"100078","43.92","101","100078"
"GERIU","316.5","101","GERIU"
"NTADC","15","101","Nail Trim Add-On (Sm K9 or Cat)"
"124226","25.88","99","124226"
"920611","9","99","920611"
"0011","307","99","0011"
"001403","30","98","001403"
"E-COL 4","8","97","E-COL 4"
"130855","36","95","130855"
"134025","9.49","94","134025"
"PARVO","59.7","94","PARVO"
"GENA3","100","93","GENA3"
"HD","35","93","HD"
"CSA 034","168.74","93","CSA 034"
"116","49","91","Anaesthetic - Local"
"COL","7.75","91","COL"
"UPCRECK","60","89","Urgent Pet Care Recheck Visit"
"107354","45","88","107354"
"025117","30.38","88","025117"
"MEDI 110","21.42","87","MEDI 110"
"APOM","15","87","APOM"
"139871","13.7","86","139871"
"DRONTAL2","40.55","86","DRONTAL2"
"140513","74.88","85","140513"
"8514","22","84","8514"
"NTAGAPP","30","84","NTAGAPP"
"101384","32.24","83","101384"
"126022","50.18","83","126022"
"126061","32.16","83","126061"
"130853","36","82","130853"
"920615","24.3","82","920615"
"ADV4","10","82","ADV4"
"T760A","55","82","T760A"
"125016","32.36","81","125016"
"920613","12","81","920613"
"FLEX","59.5","81","FLEX"
"109","80","80","109"
"408","85","80","Oral Surgery per Hour"
"120464","26.33","80","120464"
"MED1N","41.28","80","MED1N"
"DAP","75","80","DAP"
"316","188","79","Cremation Private Cedar/Pine/Ceram/Pearl"
"117007","32.4","79","117007"
"128354","30","79","128354"
"132320","36","79","132320"
"121047","47.16","78","121047"
"128311","33.9","78","Fructosamine Add On IN"
"PVD","45.12","78","PVD"
"402","50","77","402"
"1701","65.1","77","1701"
"8516","25","77","8516"
"119585","19","77","119585"
"133995","92.85","77","133995"
"139164","20.16","77","139164"
"FEL4","27.06","77","FEL4"
"113573","6.39","76","113573"
