treatment_code,description,list_price,last_changed,months_held,confidence,tier,share_pct,charges_in_run,alt1_price,alt1_count,alt2_price,alt2_count,drifting,drift_price,drift_months,uses_365d,revenue_365d
118192,"Felimazole 2.5mg",40.8,2025-10-01,3,55,MEDIUM,57.1,7,25.44,1,19.68,1,true,43.8,1,28,1170.92
117505,"PVD Fel UR ST/OX - 7.26kg",113.69,2025-11-01,3,66,MEDIUM,80,5,118.24,1,,0,true,118.24,1,10,1150.62
100,"Anesthesia (IInduction+Isof 30min)",250,2025-03-01,5,78,HIGH,85.7,7,150,1,,0,false,,0,5,1150
119322,"Hills Fel c/d Chicken - 8.5lbs",80.36,2025-11-01,4,67,MEDIUM,70,10,160.72,2,83.58,1,false,,0,12,1126.44
ANALN,"Anal Glands And Nail Trim",40,2019-02-01,82,93,HIGH,86.8,752,43,69,39,13,false,,0,28,1120
118600,"RC Fel Urinary SO - 85g",67.68,2024-04-01,7,77,HIGH,61.8,34,33.84,5,59.22,2,true,67.2,2,13,1118.7
VACCFELC,"Adult Feline Leukemia",30,2023-10-01,24,100,HIGH,100,121,,0,,0,false,,0,37,1110
UPCRECK,"Urgent Pet Care Recheck Visit",79,2025-11-01,4,77,HIGH,88.9,9,60,1,,0,false,,0,16,1097
118480,"Milbemax cats (16mg/40mg)",32.62,2026-01-01,3,64,MEDIUM,59.4,32,16.63,3,19.56,3,false,,0,32,1087.64
106544,"Vetmedin 1.25mg",35.8,2025-05-01,5,55,MEDIUM,40,10,63,2,34.96,1,true,42.24,2,26,1081.52
US,"Echocardiogram -Fvs Imaging",539.5,2023-08-01,5,62,MEDIUM,57.1,7,507,3,,0,false,,0,2,1079
143487,"Cerenia 16mg",20.26,2025-03-01,2,64,MEDIUM,83.3,6,24.39,1,,0,true,17.45,2,41,1078.12
THMS5-8,"Take Home Medication Surgery 50-80lb",47.5,2025-01-01,10,87,HIGH,84,25,100,1,142.5,1,false,,0,19,1073.75
115314,"Clavaseptin 250mg tabs",39.02,2025-03-01,4,60,MEDIUM,53.8,13,48.8,3,31.3,2,true,46.72,1,31,1070.76
125193,"Vanectyl-P",35.1,2020-08-01,4,47,LOW,40,5,44.34,1,33.56,1,true,93.76,1,19,1068.12
142319,"Clavaseptin 750mg tablets",48.72,2025-02-01,6,54,MEDIUM,33.3,9,57.9,1,80.85,1,true,17.95,2,18,1060.63
GENAL1,"General health (17) CBC Lytes Amyl",175.9,2025-11-01,3,77,HIGH,100,6,,0,,0,false,,0,6,1055.4
0613,"Metacam 0.5mg/mL",38.4,2024-07-01,2,37,LOW,33.3,6,79.87,1,62.6,1,true,19.13,1,52,1046.98
