treatment_code,description,list_price,last_changed,months_held,confidence,tier,share_pct,charges_in_run,alt1_price,alt1_count,alt2_price,alt2_count,drifting,drift_price,drift_months,uses_365d,revenue_365d
125663,"Hills K9/Feline a/d Urgent Care",18.76,2025-03-01,3,48,LOW,50,4,4.69,2,,0,true,10.22,1,6,52.85
120464,"OPTIXCARE -  L-Lysine Chews - 60 Chews",26.33,2020-12-01,7,90,HIGH,100,8,,0,,0,false,,0,2,52.66
EPIDL,"Anesthesia - Epidural",105,2022-10-01,3,56,MEDIUM,66.7,3,52.5,1,,0,false,,0,1,52.5
140698,"RC K9 Gastro Low Fat - 3kg",57.96,2024-10-01,4,63,MEDIUM,66.7,6,52.28,2,,0,false,,0,1,52.28
120507,"MCRC Fel GI Fibre Response 2kg",58.1,2024-08-01,5,58,MEDIUM,50,6,51.88,2,55.86,1,false,,0,1,51.88
124331,"Furosemide Inj 10mg/ml",32.29,2024-08-01,3,34,LOW,25,4,32.88,1,31.9,1,true,15.4,2,5,51.19
129824,"Canaural Ear Drops 15ml",45.62,2019-03-01,7,91,HIGH,90.9,22,79.24,2,,0,true,31.84,2,1,50.73
BAYDEX,"Baytril/Dexamethadone Otic Sol 30 ml",49.9,2025-10-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,49.9
EZBRUSH,"EZ Scrub Brush w/Chlorhex 4%",49.38,2026-01-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,49.38
137102,"Thyro Tab 0.3mg",18.9,2024-11-01,3,48,LOW,50,4,49.2,2,,0,false,,0,1,49.2
HSO,"Hospital Supplies - Ophthalmic",48.1,2025-06-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,48.1
115597,"Easy Clean Cat Litter Unscented - 40lbs",15.01,2025-12-01,1,63,MEDIUM,100,1,,0,,0,true,16.51,1,3,48.03
143732,"Gabapentin 100mg cap",12,2025-06-01,2,30,LOW,25,4,22.5,1,12.7,1,false,,0,4,47.6
118594,"Pro Otic Ear Cleaner 4oz",12.86,2024-11-01,3,80,HIGH,100,11,,0,,0,true,13.3,2,3,47.56
99015787,"Methocarbamol 500 mg",47.3,2025-10-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,47.3
105645,"Phenobarbital 15 mg Tabs",30.6,2021-05-01,3,77,HIGH,100,5,,0,,0,true,23.4,1,2,46.8
CEFSO,"Cefazolin Sodium Inj. - 1g",23.24,2023-10-01,2,41,LOW,50,2,46.48,1,,0,false,,0,1,46.48
125224,"Revolution Dog 10.1-20 kg (Red)",75.7,2024-11-01,4,63,MEDIUM,66.7,6,43.94,1,45.82,1,false,,0,1,45.82
134295,"Hills K9 Soft Baked Treats - 13oz",15.58,2024-05-01,3,76,HIGH,100,4,,0,,0,true,15,1,3,45.58
125225,"Revolution Dog 20.1-40 kg (Teal)",51.22,2020-05-01,6,56,MEDIUM,37.5,8,27.61,3,45.34,2,false,,0,1,45.34
139869,"Ubavet Dental Care Water Additive",44.76,2025-04-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,44.76
121378,"Buprenorphine 0.3mg/ml Inj (Vetergesic)",49.41,2024-10-01,3,63,MEDIUM,66.7,12,37.47,2,36.7,1,false,,0,1,44.74
144642,"Rayne Simple Freeze Dried Kangaroo 142g",43.44,2025-05-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,43.44
104286,"Infusn Set Wing Butterfly12"" 23gx3/4""50s",43.35,2026-01-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,43.35
102968,"CET Toothpaste Poultry - 70g",12.34,2020-03-01,13,50,MEDIUM,21.4,14,10.19,3,12.96,2,true,10.6,2,4,43.16
141178,"Solensia - 7mg/ml",43.14,2025-10-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,43.14
121855,"Medical Pet Shirt XXS",30.74,2020-07-01,2,41,LOW,50,2,43.04,1,,0,false,,0,1,43.04
123539,"PVD K9 OM Select 2.72kg",27.41,2020-10-01,2,41,LOW,50,2,43.01,1,,0,false,,0,1,43.01
144041,"Alfaxan (Alfaxalone) Multidose - 20mL",14.6,2025-11-01,3,38,LOW,33.3,3,22.61,1,5.02,1,false,,0,3,42.23
132102,"Canine CR Lyme",42.1,2025-08-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,42.1
125015,"Baytril 5% Injectable (per ml)",30.2,2020-06-01,2,62,MEDIUM,80,5,30.52,1,,0,true,13.13,1,3,42.05
127715,"PVD Feline Essential Care Kitten",5.01,2023-12-01,3,48,LOW,50,4,10.02,1,42,1,false,,0,1,42
0220,"Blood Collection",41.3,2024-11-01,2,72,MEDIUM,100,4,,0,,0,false,,0,1,41.3
MISC,"Misc.  Injection",21,2019-02-01,6,58,MEDIUM,23.1,750,18,89,42,85,false,,0,2,41
132255,"RC Fel GI Treats",14.02,2023-12-01,4,47,LOW,40,5,14.71,2,29.42,1,true,13.71,1,3,40.56
137313,"Max & Molly 220g",19.99,2023-05-01,10,74,MEDIUM,66.7,12,20.27,4,,0,true,20.27,2,2,40.54
115014,"Cat Litter Natures Miracle Corn 10lb",20.2,2026-01-01,1,65,MEDIUM,100,2,,0,,0,false,,0,2,40.4
135202,"After surgery wear XXXL",26.6,2024-07-01,2,41,LOW,50,2,40.3,1,,0,false,,0,1,40.3
134709,"Dermachlor 4% Shampoo- 236ml",37.12,2021-07-01,5,62,MEDIUM,57.1,7,38.62,3,,0,true,38.62,2,1,39.78
117712,"Oti-Scrub Foaming Ear Cleaner - 8oz",13.62,2025-12-01,2,41,LOW,50,2,25.91,1,,0,false,,0,2,39.53
103961,"Novo- Ketoconazole 200 mg Tablets [teva]",56.1,2023-07-01,5,62,MEDIUM,57.1,7,106.5,1,2.58,1,true,26.7,2,1,38.86
123464,"Hilarys Renal Blend 350g",38.5,2019-02-01,3,83,HIGH,96.3,27,462,1,,0,false,,0,1,38.5
116921,"Hilarys Blend K9 - 350g",38.16,2024-12-01,2,52,MEDIUM,66.7,3,30,1,,0,false,,0,1,38.16
137954,"PVD Fel OM Crunchy Bites - 51g",13.56,2025-02-01,4,62,MEDIUM,62.5,8,6.78,2,8.1,1,true,8.1,1,4,37.86
122351,"MCRC Fel GI Mod Cal - 1.5kg",33,2020-04-01,14,80,HIGH,70.8,24,34.33,4,35.98,3,true,35.98,2,1,37.73
117887,"PVD EN Fel (gastro) Formula 156g",57.36,2019-11-01,3,48,LOW,50,4,48,1,30.72,1,true,61.44,2,1,36.9
127758,"Collar Comfy Cone X-Lrg 30cm",36.67,2025-06-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,36.67
005424,"Thyro Tab 0.4mg",36.6,2025-02-01,3,76,HIGH,100,4,,0,,0,false,,0,1,36.6
128563,"Caninsulin VetPen Needles 100/pkg",46.16,2022-06-01,3,59,MEDIUM,66.7,6,92.32,1,36.37,1,false,,0,1,36.37
125194,"Strongid T",12.07,2022-09-01,7,53,MEDIUM,30,10,12.57,1,12.03,1,false,,0,3,36.26
0623,"Amitriptyline 10 mg/ml",36,2022-06-01,2,72,MEDIUM,100,4,,0,,0,false,,0,1,36
FELENEMA,"Enema",71.3,2024-01-01,9,81,HIGH,78.6,14,110,1,106.95,1,false,,0,1,35.65
131236,"MCRC Fel Renal Support S 1.37kg",24.01,2019-03-01,3,48,LOW,50,4,30,1,35.58,1,false,,0,1,35.58
129412,"RC Fel Urinary SO Mod Cal - 1.5kg",35.52,2024-06-01,6,94,HIGH,100,16,,0,,0,true,31.71,2,1,35.24
101377,"Maxitrol Opth 0.1% 5mL",35.05,2025-01-01,4,82,HIGH,100,7,,0,,0,false,,0,1,35.05
METINJ,"Metacam Inj. - 0.5%",33.43,2025-02-01,3,55,MEDIUM,60,5,30.64,1,4.17,1,false,,0,2,34.81
102594,"CET Enzymatic Toothpaste Van Mint 70gm",10.19,2025-01-01,4,47,LOW,40,5,11.7,2,11.36,1,false,,0,3,34.76
140032,"Inhibit Ointment 50gm",41.5,2024-05-01,4,72,MEDIUM,83.3,6,34.13,1,,0,false,,0,1,34.13
041823,"Pregabalin 20 mg/ml",30.4,2023-04-01,2,41,LOW,50,2,34.08,1,,0,false,,0,1,34.08
144604,"Fluoxetine 10mg Caps AURO",12.32,2026-02-01,2,41,LOW,50,2,21.6,1,,0,false,,0,2,33.92
123875,"Rheumocam (Meloxicam) 15ml",32,2019-03-01,16,99,HIGH,98.4,61,33.76,1,,0,false,,0,1,33.76
113182,"Flexadin 30 Tablets",25.4,2019-02-01,5,71,MEDIUM,70,10,24.7,2,33.48,1,false,,0,1,33.48
132260,"RC K9 GI Treats - 500g",13.99,2019-02-01,13,58,MEDIUM,35.7,14,18.75,3,12.48,2,false,,0,2,33.2
100760,"Hydromorphone inj 10 mg/ml",37.95,2019-06-01,4,54,MEDIUM,50,6,32.11,1,29,1,true,29.39,2,1,33
DECIDU,"Extractions - Deciduous Teeth",33,2025-10-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,33
0401,"Mirtazapine 2 mg Tab",16.35,2025-02-01,3,75,HIGH,90.9,11,3.48,1,,0,false,,0,2,32.7
131242,"RC Fel Renal Support T - 85g",36.24,2024-01-01,3,48,LOW,50,4,72.48,2,,0,true,32.4,2,1,32.4
124219,"Aventiclav 125mg tablet",43.36,2020-05-01,4,63,MEDIUM,66.7,6,45.6,2,,0,true,31.6,2,1,32
108,"Premedication (Elective)",10.66,2026-01-01,1,37,LOW,50,2,1.11,1,,0,true,5.23,1,4,31.9
117633,"Calcium Gluconate 10% per ml",32.4,2019-03-01,2,62,MEDIUM,80,5,31.85,1,,0,false,,0,1,31.85
124126,"Therabites Fel Hairball - 20s",13.76,2024-02-01,4,82,HIGH,100,7,,0,,0,true,7.96,1,3,30.4
132073,"Rayne Kangaroo Treats 200g",40.16,2019-06-01,8,85,HIGH,85.7,14,14.34,1,30.07,1,true,90.21,2,1,30.07
NTAGAPP,"Nail Trim & Anal Glands with exam",30,2019-02-01,42,100,HIGH,100,146,,0,,0,false,,0,1,30
1216,"Laser Engraving urns first line",30,2024-04-01,2,70,MEDIUM,100,3,,0,,0,false,,0,1,30
125172,"Canine DAP (Distemper)",30,2025-08-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,30
123838,"Pill Pockets K9 PeanutButter - Caps",9.94,2023-12-01,9,89,HIGH,92.9,14,9.56,1,,0,true,9.56,1,3,28.68
BML,"Bandage Material - Large",28,2026-03-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,28
106380,"Disposable Toothbrush - 100 pk",28,2026-01-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,28
139619,"CET K9 Hextra Chews Large - 30s",32.93,2024-05-01,4,72,MEDIUM,83.3,6,26.85,1,,0,false,,0,1,26.85
145141,"Pill Pockets Fel Salmon 45g",6.52,2025-12-01,3,38,LOW,33.3,3,13.04,1,6.99,1,false,,0,3,26.55
140356,"Douxo S3 Calm Pads - 30's",26.2,2024-05-01,2,51,MEDIUM,60,5,52.4,2,,0,false,,0,1,26.2
145098,"XMAS Huggle Hound Wee Huggles each (6pk)",6.5,2025-12-01,2,72,MEDIUM,100,4,,0,,0,false,,0,4,26
140789,"XMAS K9 Kong Holiday Snuzzles Reindeer",12.94,2025-12-01,1,65,MEDIUM,100,2,,0,,0,false,,0,2,25.88
134073,"Emeraid Intensive Care Carnivore - 100mg",25.32,2026-02-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,25.32
131739,"Metronidazole 5mg/ml Inj.",42.32,2022-08-01,4,36,LOW,20,5,30.8,1,38.72,1,true,12.64,1,2,25.28
139520,"CET Fel Intellident Bites 90s",10.75,2020-12-01,1,63,MEDIUM,100,1,,0,,0,true,9.98,1,2,24.95
103039,"CET Toothpaste Samples - 12g",24.08,2026-01-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,24.08
107461,"Syringe Ideal Disp 12cc Luer Slip Tip",23.1,2026-01-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,23.1
140006,"Diclofenac 0.1% Ophthalmic",22.41,2025-01-01,3,77,HIGH,100,5,,0,,0,false,,0,1,22.41
INJ3,"Oral medication/admin",7.42,2019-02-01,2,42,LOW,36.4,11,35,3,37.1,2,true,7.42,1,3,22.26
137953,"PVD Fel OM Savory Selects Salmon 156g",50.88,2022-06-01,7,64,MEDIUM,50,10,54.17,2,2.97,1,false,,0,2,22.02
103361,"CET Toothpaste Seafood - 70g",12.96,2019-03-01,7,58,MEDIUM,42.9,7,10.6,2,5.88,1,false,,0,2,21.2
107466,"Ketoconazole 200mg - APO",21.2,2025-11-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,21.2
102606,"CET Toothpaste Beef 70g",10.19,2024-06-01,4,58,MEDIUM,60,5,9.8,1,10.6,1,false,,0,2,20.79
141280,"Diphenhydramine 50mg/ml",30.94,2024-05-01,2,32,LOW,20,10,44.55,2,33.86,2,true,34.83,2,1,20.51
101386,"Tobrex 0.3% Ointment 3.5",26.72,2019-03-01,7,88,HIGH,91.7,12,22.71,1,,0,true,20.04,2,1,20.04
110064,"Pill Pockets Fel Salmon",6.79,2023-07-01,7,87,HIGH,90.9,11,13.58,1,,0,true,6.52,1,3,19.83
141789,"XMAS K9 Christmas Loofa",9.64,2025-12-01,1,65,MEDIUM,100,2,,0,,0,false,,0,2,19.28
5822464,"Methocarbamol 200mg/ml",33.42,2024-02-01,6,49,LOW,25,8,30.36,1,35.8,1,false,,0,1,18.6
132146,"Aloe & Oatmeal Conditioner 275ml",7.88,2020-12-01,7,56,MEDIUM,37.5,8,15.76,2,8.28,1,false,,0,1,18.03
113453,"Fortiflora Feline/ Sachet",35.6,2024-05-01,3,48,LOW,50,4,17.8,2,,0,false,,0,1,17.8
136203,"CET Veggiedent Chews XS -30s",8.62,2019-02-01,3,68,MEDIUM,83.3,6,14.35,1,,0,true,16.42,2,1,16.78
8773397,"APO - Prazo 1 mg (Summit)",16.56,2025-12-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,16.56
DOXYC,"Doxycycline 50 mg/ml",13.48,2019-04-01,5,47,LOW,28.6,7,18.21,1,26,1,true,14.94,2,1,16.23
104246,"Syringe Terumo 30cc Luer Slip Tip",16,2026-01-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,16
108963,"CET Pet Toothbrush",3.39,2019-12-01,15,84,HIGH,80,20,6.78,3,13.56,1,true,5.2,2,4,15.89
145152,"Pill Pockets K9 Chicken - Tabs 3.2oz",7.62,2026-01-01,2,41,LOW,50,2,8.16,1,,0,false,,0,2,15.78
125482,"Sucralate 1g Tablet [TEVA]",38.04,2022-06-01,2,45,LOW,44.4,9,67.8,4,15.64,1,false,,0,1,15.64
PCV2,"PCV - Additional",15.3,2019-02-01,2,72,MEDIUM,100,4,,0,,0,false,,0,1,15.3
139608,"CET Aquadent Dental Solution- 500mL",15.28,2026-02-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,15.28
133961,"Syringe Exel 3cc LL 22g x 3/4"" Needle",12.8,2026-01-01,2,41,LOW,50,2,1.5,1,,0,false,,0,2,14.3
144753,"Lidocaine 2% w preserv- EUGIA",14.25,2025-12-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,14.25
137881,"Horse beddingpellets -16kg",32.85,2021-10-01,10,91,HIGH,85.4,41,21.9,5,14.08,1,false,,0,1,14.08
COUR,"Distributor Restocking Fee",57.9,2020-09-01,2,41,LOW,50,2,13.96,1,,0,false,,0,1,13.96
137120,"Furosemide Inj 10mg/ml  HIKMA",13.8,2026-02-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,13.8
134019,"Syringe SOL-M 1cc Slip Tip LDC Poly",13.7,2026-01-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,13.7
145149,"Pill Pockets Fel Chicken 45g",6.52,2026-01-01,2,41,LOW,50,2,6.99,1,,0,false,,0,2,13.51
017436,"Diazepam Inj 5mg/ml 2 ml vial",39.23,2021-01-01,5,73,MEDIUM,75,8,41,2,,0,true,45,2,1,13.5
99016571,"Omeprazole 10mg Tablet (Summit)",13.24,2026-02-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,13.24
144614,"Mirtazapine 15mg  AURO",12.95,2026-01-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,12.95
144746,"Clindamycin - 300mg Caps AURO",12.8,2026-02-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,12.8
127046,"Vitamin B12 Inj. [1000ug]",33.6,2024-01-01,5,63,MEDIUM,55.6,9,29.11,2,36.6,1,false,,0,1,12.44
137312,"Max & Molly Liver Treats - 120g",11.19,2019-05-01,8,73,MEDIUM,66.7,9,7.99,2,12.78,1,true,12.43,2,1,12.43
104091,"Clindamycin 150mg capsules [teva]",25.16,2019-02-01,2,44,LOW,38.5,13,31.74,2,21.4,2,false,,0,1,12.43
144745,"Clindamycin 150mg Caps AURA",12.4,2026-02-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,12.4
125244,"Dexamethasone 5mg/ml inj",29.4,2024-07-01,6,72,MEDIUM,61.5,13,29.8,2,31,1,true,0.4,2,1,12.32
127722,"PVD Fel Ess Care Indoor - 85g",9.36,2022-03-01,4,36,LOW,20,5,21.84,1,37.44,1,false,,0,1,12.3
142305,"Hairball EZ - Tuna",12.04,2024-11-01,4,83,HIGH,100,9,,0,,0,false,,0,1,12.04
140171,"Foil Crinkle Balls",2,2026-01-01,2,62,MEDIUM,80,5,1,1,,0,true,1,1,7,12
128915,"Hills K9 k/d Chicken Stew 12.5oz",31.02,2022-11-01,3,48,LOW,50,4,37.5,1,12.5,1,true,18.75,2,1,11.16
134027,"Hills Fel Metabolic Treats - 2.5oz",10.19,2025-07-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,10.19
123837,"Pill Pockets Caps Hickory - 7.9oz",9.53,2022-06-01,2,62,MEDIUM,80,5,9.94,1,,0,true,9.94,2,1,9.94
113986,"Cat litter box liner GIANT vanness",9.81,2025-11-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,9.81
141727,"XMAS K9 Cheeky Chum Red Elf",9.53,2025-12-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,9.53
STANH8,"Stanhexidine Scrub - 8OZ",9,2025-11-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,9
143508,"PVD K9 Gental Snackers Hydrolyzed & LF",8.9,2026-03-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,8.9
139174,"RC Gastro Puppy - 145g",39.2,2021-06-01,3,48,LOW,50,4,12.48,1,3.12,1,true,74.88,2,1,8.7
141720,"XMAS K9 Cheeky Chum Santa",8.56,2025-12-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,8.56
136849,"XMAS K9 Zippy Paw Reindeer",8,2025-12-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,8
123836,"Pill Pockets K9 Peanut Butter 3.2oz",7.57,2019-03-01,9,70,MEDIUM,56.3,16,7.92,5,15.14,2,true,7.92,2,1,7.92
145046,"XMAS Fel Kong Cat Yeti -refillable",6.9,2026-01-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,6.9
133659,"Cohesive Bandage 2"" Asst Vet-Wrap",6.67,2026-01-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,6.67
137967,"Catit Lickables Assorted - 12pk",8.94,2023-10-01,5,67,MEDIUM,66.7,6,6.38,2,,0,false,,0,1,6.38
128906,"Hills Fel i/d Chkn Stew - 2.9oz",83.04,2024-02-01,8,75,HIGH,70,10,3.01,2,3.46,1,false,,0,2,6.02
XMASMED,"Christmas Toy Medium",3,2025-12-01,1,65,MEDIUM,100,2,,0,,0,false,,0,2,6
119151,"EXO Terra analog Thermometer",4.4,2026-01-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,4.4
123497,"Greenie Fel Treat Indoor Chicken - 60g",4.25,2026-02-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,4.25
139151,"Greenie Fel Dental Treat Catnip - 60g",4.25,2026-03-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,4.25
128800,"Christmas Toy Small",2,2026-01-01,1,65,MEDIUM,100,2,,0,,0,false,,0,2,4
139133,"Greenie Fel salmon 2.1 oz",3.09,2020-12-01,2,41,LOW,50,2,3.82,1,,0,false,,0,1,3.82
130933,"Gauze Sponge 4ply 2'x2' - 200 per bag",6.05,2023-08-01,3,34,LOW,25,4,6.18,1,5.15,1,false,,0,1,3.39
137968,"Creamy Catit tuna cat treat 75g",7.14,2020-10-01,3,38,LOW,33.3,3,2.68,1,2.88,1,false,,0,1,2.88
4958165,"Prednisolone 100mg/ml",17.85,2020-10-01,4,40,LOW,22.2,9,16.68,2,14.73,1,false,,0,1,2.74
118693,"Dexdomitor Inj",36.8,2024-08-01,4,47,LOW,40,5,30.56,1,68.03,1,false,,0,1,1.86
129006,"PVD Puppy Care",33.6,2021-05-01,4,54,MEDIUM,50,6,36,1,5.34,1,false,,0,1,1.61
125776,"DECLINED: Needle BD 25g x 5/8""",0.9,2026-03-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,0.9
119257,"Dermacea Gauze Sponge 4ply 3""x 3"" 200's",0.02,2026-01-01,1,37,LOW,50,2,0.05,1,,0,false,,0,2,0.07
INTERCEP,"Interceptor White 23 Mg Tb.",14,2019-02-01,2,62,MEDIUM,59.6,94,14.44,16,16,10,false,,0,0,0
BL,"Blood  Collection",41.3,2022-08-01,18,99,HIGH,98.6,658,37.17,7,20.65,2,false,,0,0,0
N,"Canine Hills Gd 35 Lbs",83.02,2019-02-01,1,57,MEDIUM,75,8,86.34,2,,0,false,,0,0,0
SEN,"Senior  Welness Exam (exam-Bp-Bloodwork-",161,2019-02-01,1,63,MEDIUM,85.7,7,168,1,,0,false,,0,0,0
1002,"Rabies 3 Combined",27,2019-02-01,1,46,LOW,36.6,1163,30,281,35,257,true,30,1,0,0
97,"Gst",4.05,2019-02-01,1,26,LOW,1.1,7466,3.9,59,3.75,58,false,,0,0,0
VET SOLU,"Oral Care Chews Small  18 Oz ( Vet Solut",17,2019-02-01,1,67,MEDIUM,100,3,,0,,0,false,,0,0,0
J4,"Canine Hills  Td   Dry Small  Bites 2.27",17.24,2019-02-01,1,51,MEDIUM,45.6,114,17.93,29,17.5,20,false,,0,0,0
025117,"Metacam Oral 1.5mg/Ml Bct 10ml",30.38,2019-02-01,1,47,LOW,39.2,222,32.04,71,30,49,false,,0,0,0
333,"3 Years Canine Dap",38,2019-03-01,2,76,HIGH,100,10,,0,,0,false,,0,0,0
BIOTENE,"Biotene Drinking Water Additive",22,2019-02-01,1,44,LOW,42.1,19,21,6,20,2,false,,0,0,0
PRE,"Preanesthetic  Bloodwork",81,2019-02-01,2,44,LOW,25.7,346,90,67,68,65,false,,0,0,0
1007,"Kennel  Cough   Combined",27,2019-02-01,2,49,LOW,34.9,944,30,252,35,215,false,,0,0,0
E-COL,"E-Collar # 20",11,2019-02-01,1,53,MEDIUM,49.3,73,12,20,11.44,7,false,,0,0,0
1013,"Rabies 1 Year Combined",27,2019-02-01,2,46,LOW,29.6,1138,30,254,35,203,false,,0,0,0
0009,"Canine  Neuter 25--35 kg",215.4,2020-10-01,4,47,LOW,40,5,380,2,228,1,false,,0,0,0
V,"Feline Hills Healthy  Advantage Kitten 2",22.65,2019-02-01,1,30,LOW,25,8,16.53,1,16.38,1,false,,0,0,0
TREAT7,"Hills Feline Hypoallergenic Treats  2.5",5.19,2019-02-01,1,38,LOW,31.6,19,4.9,5,5.4,4,false,,0,0,0
BLOODM,"Blood - Minor Pannel (PCV/Ts + Minor Che",87,2019-02-01,1,39,LOW,35.7,14,76,3,77,2,false,,0,0,0
U/A,"Urine Test Strip + Usg",44.8,2019-05-01,6,85,HIGH,88.9,9,26.88,1,,0,false,,0,0,0
1001,"Adult - Da2ppv",81,2019-02-01,1,49,LOW,41.7,381,78,86,77,67,false,,0,0,0
111,"Domitor/Antisedan <10 Kg",70,2019-02-01,1,39,LOW,24.4,45,81,10,99,9,false,,0,0,0
OPTIM,"Optimyxin Eye/Ear 10 Ml Sol",19,2019-02-01,1,65,MEDIUM,100,2,,0,,0,false,,0,0,0
MICRO 4,"Microchip",45,2019-02-01,1,45,LOW,35,448,49,134,55,118,false,,0,0,0
PE1,"Pediatric Dog Neuter <15 Kg",196,2019-02-01,2,55,MEDIUM,55.6,18,225,6,190,1,true,135,2,0,0
1003,"Adult Da2ppv  Combined",30,2019-02-01,2,52,MEDIUM,41.3,150,35,25,29,20,false,,0,0,0
011259,"Pyrantel Pamoate Liquid 50mg/Ml",9,2019-02-01,3,60,MEDIUM,48.4,225,7,55,7.28,17,false,,0,0,0
ANEX,"Physical Examination",80,2023-05-01,22,95,HIGH,91.3,1012,48,67,40,9,false,,0,0,0
STAN,"Stanhexidine 4% Skin Cleanser  Medium Bo",15,2019-02-01,12,80,HIGH,63.4,134,14.56,17,13,15,false,,0,0,0
NOVO3,"Novo-Lexin 500mg",43.2,2019-02-01,3,38,LOW,8.5,529,32.8,42,31.8,39,false,,0,0,0
001399,"Bandage Vetrap Minor (2 inch)",20,2019-02-01,4,70,MEDIUM,59.4,64,16,16,16.64,8,false,,0,0,0
MEDI 99,"MCRC Feline Reduced Protein 4.5 kg",48.84,2019-02-01,1,35,LOW,20.6,34,37.6,5,54.1,5,false,,0,0,0
A/D,"Canine/Feline Hills a/d 156 G",8.49,2019-02-01,1,30,LOW,7.8,129,6.04,8,6.9,7,false,,0,0,0
GLUCO,"Glucosamine 500 Mg 60 Tb",18,2019-02-01,1,50,MEDIUM,60,10,17,4,,0,false,,0,0,0
RAFTER,"Prednisolone 5 Mg Tb",34.8,2019-02-01,1,34,LOW,22.7,22,21.6,3,30.4,2,false,,0,0,0
G,"Canine Hills  Id 8.5 Lbs",32.24,2019-02-01,1,42,LOW,30,70,33.53,21,35.9,14,false,,0,0,0
SMETRO,"Metronidazole 100 mg/ml",13.6,2022-06-01,3,47,LOW,40,10,14.24,4,13.75,1,true,2.08,1,0,0
MISCT,"Ear Flush/Cleaning  And Medicate",40,2020-10-01,2,52,MEDIUM,66.7,3,60.1,1,,0,false,,0,0,0
TYROID,"T4  total & cTSH - Idexx",128.9,2019-11-01,3,68,MEDIUM,83.3,6,50.95,1,,0,false,,0,0,0
SURO1,"Surolan Drops 30ml",43.5,2019-02-01,1,55,MEDIUM,53.2,47,45,11,49,8,false,,0,0,0
125664,"Hills Fel s/d 1.8kg",56.98,2022-06-01,3,48,LOW,50,4,65,2,,0,false,,0,0,0
115339,"Cerenia 16mg",22.92,2024-11-01,3,52,MEDIUM,50,10,175.8,1,17.46,1,true,93.8,1,0,0
STAT,"Histopathology Single Tissue - Idexx",198,2019-03-01,17,95,HIGH,96.6,29,99,1,,0,false,,0,0,0
T415,"Pt/Ptt( Idexx)",147.9,2020-12-01,3,55,MEDIUM,60,5,204,1,282,1,false,,0,0,0
J1,"Canine Hills  Td  Dry Small  Bites 6.8",47.84,2019-02-01,1,46,LOW,36.6,131,46,46,42.5,23,false,,0,0,0
MEDI 129,"Medi-Cal Rc Feline Gastro Cans 165 G",38.4,2019-02-01,1,34,LOW,22.7,22,37.92,5,3.2,2,false,,0,0,0
U4,"Canine Hills Healthy Advantage  Adult 3.",19.71,2019-02-01,1,52,MEDIUM,50,36,21.52,12,38.56,2,false,,0,0,0
V5,"Feline Hills Healthy  Advantage Adult 3.",31.53,2019-02-01,1,53,MEDIUM,50,52,32.79,19,30.85,5,false,,0,0,0
ADV2,"Advantage Multi 20 Teal",20.5,2019-02-01,1,38,LOW,22.7,44,21.24,9,33,7,false,,0,0,0
E-COL 4,"E-Collar # 7.5",8,2019-02-01,1,64,MEDIUM,70.2,47,8.5,9,7,4,false,,0,0,0
