treatment_code,description,price_90d,confidence_90d_pct,usage_90d,price_180d,confidence_180d_pct,usage_180d,price_365d,confidence_365d_pct,usage_365d,revenue_365d,price_drifted
905008,"Buster Clic Collar Clear 35cm",56.18,100,2,56.18,100,2,56.18,100,2,112.36,false
133027,"Simparica 120mg (40.1-60kg) Brown",42.57,100,1,42.57,100,1,42.57,50,2,112.19,false
DARBO,"DECLINED: Aranesp (Darbepoetin Alfa) 10m",,,0,,,0,55.62,100,2,111.24,
99013782,"Maropitant (as Citrate) 20 mg/ml",,,0,7.54,100,2,7.54,25,8,109.79,
144138,"Vetradent Veggie Chews",25.68,100,1,25.68,50,2,41.58,66.7,3,108.84,true
139645,"RC Fel Renal Support Early Consult 2kg",52.4,100,1,52.4,50,2,52.4,50,2,108.82,false
OXY2,"Oxygen therapy - additional hours",46.2,100,1,30.8,66.7,3,30.8,66.7,3,107.8,true
140656,"PVD K9 HA Salmon - 2.72kg",53.89,100,2,53.89,100,2,53.89,100,2,107.78,false
106212,"BIPS Barium small",,,0,53.68,100,2,53.68,100,2,107.36,
139261,"PVD Fel Urinary Health Treats - 51g",6.5,66.7,6,6.5,75,8,6.5,69.2,13,106.94,false
129809,"Malacetic Otic - 118ml",,,0,,,0,17.58,50,4,106.84,
128025,"Mirtazapine 15 mg",,,0,,,0,0.97,16.7,6,106.74,
144025,"Trizedta Aqueous Flush - 473ml",49.93,100,1,49.93,100,1,49.93,50,2,106.05,false
139692,"Douxo S3 Calm Shampoo - 200mL",40.39,66.7,3,40.39,66.7,3,40.39,66.7,3,103.49,false
193693,"duoxo s3 calm shampoo",,,0,34.29,100,3,34.29,100,3,102.87,
142466,"Cephalex 250mg tabs",16,50,2,16.48,50,4,16.48,33.3,6,100.99,true
129813,"Trizedta Aqueous Flush - 473ml",,,0,,,0,50.38,100,2,100.76,
125223,"Revolution Dog 5.1-10kg (Brown)",,,0,50.29,100,1,50.29,100,2,100.58,
URIN1,"Urinalysis Stick & S.G IN",,,0,,,0,50,100,2,100,
ANALGLAN,"Anal Gland Expression - Technologist",49.99,100,2,49.99,100,2,49.99,100,2,99.98,false
EZBRUSH,"EZ Scrub Brush w/Chlorhex 4%",49.38,100,2,49.38,100,2,49.38,100,2,98.76,false
131067,"PVD Fel Ess. Care Indoor - 3.6kg",49.11,100,2,49.11,100,2,49.11,100,2,98.22,false
124219,"Aventiclav 125mg tablet",,,0,32,100,3,32,100,3,96,
117887,"PVD Fel EN - 156g",,,0,36.9,100,2,36.9,50,4,95.94,
117633,"Calcium Gluconate 10% per ml",,,0,31.85,100,3,31.85,100,3,95.55,
128844,"Feliway Classic Spray - 20mL",,,0,23.88,100,2,23.88,100,4,95.52,
SPLI1,"Bandage and Splint change Minor",95,100,1,95,100,1,95,100,1,95,false
132255,"RC Fel GI Treats",,,0,13.71,100,4,13.71,71.4,7,94.83,
144100,"PVD K9 Ess. Care Adult - 368g",,,0,,,0,93.12,100,1,93.12,
124331,"Furosemide Inj 10mg/ml",23.9,100,1,15.4,57.1,7,15.4,57.1,7,92.3,true
124552,"Gabapentin 100mg cap",,,0,,,0,13.4,42.9,7,91.84,
124104,"Gabapentin 600mg (APO)",,,0,12.35,100,2,12.35,50,6,90.2,
DAP,"Canine DAP (Distemper)",,,0,,,0,30,100,3,90,
304,"Cremation Communal Exotic / <2kg",45,100,2,45,100,2,45,100,2,90,false
139869,"Ubavet Dental Care Water Additive",,,0,,,0,44.76,100,2,89.52,
132848A,"Cytopoint 10mg (Additional Vial)",,,0,,,0,44.74,100,2,89.48,
CHAR,"Charcoal Administration (Small)",,,0,,,0,88,100,1,88,
FLT,"Fecal Ova & Parasites to IDEXX",,,0,,,0,87.9,100,1,87.9,
144642,"Rayne Simple Freeze Dried Kangaroo 142g",,,0,,,0,43.44,100,2,86.88,
104286,"Infusn Set Wing Butterfly12"" 23gx3/4""50s",43.35,100,2,43.35,100,2,43.35,100,2,86.7,false
124126,"Therabites Fel Hairball - 40s",14.48,100,1,14.48,100,5,14.48,83.3,6,86.16,false
123539,"PVD K9 OM Select Blend - 2.72kg",,,0,,,0,43.01,100,2,86.02,
123310,"Hills K9 i/d Low Fat - 370g",,,0,68.76,100,1,17.19,50,2,85.95,
103088,"Derma Gel 100ml",,,0,,,0,36.58,50,2,85.36,
127714,"PVD K9 Ess. Care Senior - 3.6kg",44.06,100,1,41.14,50,2,41.14,50,2,85.2,true
137160,"Revolution Plus- Cats 1.3-2.5kg (Yellow)",,,0,54.5,100,1,30.5,50,2,85,
132099T,"Apoquel 3.6mg (per tab)",,,0,83,100,1,83,100,1,83,
113013,"Clinacin 25mg",25.4,100,1,25.4,50,2,25.4,66.7,3,82.9,false
137954,"PVD Fel Crunchy/Dental Bites - 51g",8.1,100,1,8.1,100,1,6.78,42.9,7,82.68,true
0220,"Blood Collection",,,0,,,0,41.3,100,2,82.6,
BNPCV,"Canine ProBNP- Idexx Adv",82.45,100,1,82.45,100,1,82.45,100,1,82.45,false
CYCA1,"Cyclosporin Aqueous 1% 10 mls",,,0,81.6,100,1,81.6,100,1,81.6,
125469,"Prednisone 50mg (TEVA)",12.49,100,1,12.49,100,1,13.5,40,5,80.89,true
139639,"RC Fel Renal Support E - 145g",,,0,37.32,100,1,9.33,40,5,80.86,
102606,"CET Toothpaste Beef - 70g",10.6,50,2,10.6,75,4,10.19,50,8,80.36,true
134709,"DermaChlor 4% Shampoo - 236mL",,,0,,,0,39.78,100,2,79.56,
108961,"Viralys Gel - 5oz",,,0,,,0,26.36,100,3,79.08,
125672,"Hills Fel z/d - 4lbs",,,0,,,0,39.27,100,2,78.54,
129810,"Malacetic Otic - 237ml",38.81,100,2,38.81,100,2,38.81,100,2,77.62,false
107290,"Depo-Medrol 40mg/ml per ml",,,0,15.5,100,2,15.5,100,5,77.5,
131820,"PVD Fel EN Naturals- 2.72kg",,,0,77.25,100,1,77.25,100,1,77.25,
RPO,"Radiograph - Post-Op",77,100,1,77,100,1,77,100,1,77,false
134295,"Hills K9 Soft Baked Treats - 13oz",15,100,2,15,50,4,15.58,60,5,76.74,true
128800,"Christmas Toy Small",2,100,1,8,42.9,14,8,42.9,14,75.2,true
102968,"CET Toothpaste Poultry - 70g",11.36,100,1,10.6,66.7,3,10.6,85.7,7,74.96,true
131780,"RC Fel Urinary SO + Satiety - 3kg",,,0,74.84,100,1,74.84,100,1,74.84,
128947,"DECLINED: Bravecto 500mg Green Flea & Ti",,,0,,,0,74.3,100,1,74.3,
131925,"Charac Activated Charcoal 50g - 225mL",15,100,1,12.72,66.7,3,12.72,50,4,74.28,true
127758,"Collar Comfy Cone X-Lrg 30cm",,,0,,,0,36.67,100,2,73.34,
COCCYB,"Anesthesia - Coccygeal Block",,,0,73,100,1,73,100,1,73,
134410,"Aventi Joint - 500ml",,,0,,,0,72.46,100,1,72.46,
PIVCO,"Peripheral IV Catheter - Only",,,0,,,0,72,100,1,72,
129825,"Canaural Ear Drops 25ml",,,0,70.75,100,1,70.75,100,1,70.75,
135200,"DECLINED: After Surgery Wear - XL",35.17,100,2,35.17,100,2,35.17,100,2,70.34,false
140987,"Feliway Optimum Diffuser Refill - 48ml",,,0,,,0,70.14,100,1,70.14,
101377,"Maxitrol Opth 0.1% 5mL",,,0,,,0,35.05,100,2,70.1,
HNSR,"Health Exam Non-Sceduled Recheck",,,0,70,100,1,70,100,1,70,
120504,"RC GI Puppy - 4kg",,,0,70,100,1,70,100,1,70,
132213,"Hills Fel Metab + c/d Stress - 6.35lbs",,,0,69.92,100,1,69.92,100,1,69.92,
140032,"Inhibit Ointment 50gm",,,0,,,0,34.13,100,2,68.26,
041823,"Pregabalin 20 mg/ml",,,0,,,0,34.08,100,2,68.16,
123609,"Onsior for Cats - 6mg",34.05,100,2,34.05,100,2,34.05,100,2,68.1,false
124182,"Hills K9 Metabolic - 13oz",,,0,67.8,100,1,67.8,100,1,67.8,
123875,"Rheumocam (Meloxicam) 15ml",,,0,,,0,33.76,100,2,67.52,
900122,"Buster Clic Classic Clear 40cm",67.51,100,1,67.51,100,1,67.51,100,1,67.51,false
BMM,"Bandage Material - Medium",,,0,,,0,22.5,100,3,67.5,
90911965,"Piroxicam 1mg/ml (Summit)",,,0,,,0,66.9,100,1,66.9,
137881,"Horse Bedding Pellets -16kg",28.16,100,1,28.16,100,1,28.16,33.3,3,66.8,false
8773397,"APO - Prazo 1 mg (Summit)",,,0,16.56,100,4,16.56,100,4,66.24,
100760,"Hydromorphone Inj. 10mg/ml",,,0,,,0,33,100,2,66,
130160,"Profender Medium 2.6-5kg",,,0,,,0,21.89,100,3,65.67,
127721,"PVD Fel Ess. Care Senior - 1.6kg",33.75,100,1,33.75,100,1,31.5,50,2,65.25,true
1700,"Prolapse treatment/reduction",,,0,65.1,100,1,65.1,100,1,65.1,
GINHYP,"Gingival Hyperplasia Resection",32.5,100,2,32.5,100,2,32.5,100,2,65,false
131784,"RC Fel Urinary SO + Calm - 3kg",,,0,,,0,64.4,100,1,64.4,
102594,"CET Toothpaste Vanilla Mint - 70g",11.7,100,1,10.6,66.7,3,10.6,66.7,6,64.29,true
123318,"Denta Chlorhexidine Oral Rinse 8oz",15.35,100,1,15.35,100,1,9.54,40,5,64.07,true
144604,"Fluoxetine 10mg caps AURO",21.6,100,1,21,66.7,3,21,66.7,3,63.6,true
011041,"Snap cPL - in house",,,0,,,0,62.5,100,1,62.5,
131240,"RC Fel Renal Support A - 3kg",,,0,,,0,62.44,100,1,62.44,
127719,"PVD Fel Ess. Care Adult - 3.6kg",61.97,100,1,61.97,100,1,61.97,100,1,61.97,false
1082988,"Propalin HCL 50mg/ml Syrup 30ml",,,0,,,0,60.88,100,1,60.88,
140912,"Ciprofloxacin 0.3% opth",,,0,30.18,100,2,30.18,100,2,60.36,
125194,"Strongid T",12.07,100,2,12.07,100,2,12.07,40,5,60.31,false
132256,"RC Fel Hypo Treat - 220g",13.71,33.3,3,13.71,33.3,3,13.71,25,4,60.1,false
NOT,"Bandage Material To Go Home",,,0,,,0,30,100,2,60,
135138,"After Surgery Wear - XXS",,,0,,,0,29.62,100,2,59.24,
116,"Anaesthetic - Local",,,0,,,0,59.2,100,1,59.2,
120515,"RC K9 GI Mod Cal - 4kg",58.62,100,1,58.62,100,1,58.62,100,1,58.62,false
IVINJ,"Intravenous Injection",,,0,,,0,58,100,1,58,
EXTVMIN,"Extractions -Very Minor/Crown Amputation",58,100,1,58,100,1,58,100,1,58,false
128311,"Fructosamine Add On IN",57.1,100,1,57.1,100,1,57.1,100,1,57.1,false
106331,"Breathalyser Water Additive - 500ml",,,0,28.12,100,2,28.12,100,2,56.24,
ANEXX,"Physical  Exam for Immunization",,,0,,,0,55,100,1,55,
124220,"Aventiclav 250mg tablet",,,0,27.4,100,2,27.4,100,2,54.8,
130024,"Glargine (Lantus) Insulin - 3mL",54.48,100,1,54.48,100,1,54.48,100,1,54.48,false
133842,"RC Fel Anallergenic - 2.5kg",,,0,,,0,54.27,100,1,54.27,
140580,"Clavamox chew tabs 125 mg",,,0,,,0,29.6,50,2,53.92,
104865,"Baytril Otic 15ml",53.76,100,1,53.76,100,1,53.76,100,1,53.76,false
127716,"PVD Fel Ess. Care Kitten 1.6kg",,,0,,,0,29.69,50,2,53.44,
102887,"Amoxi Clav 500/125mg",,,0,,,0,53.44,100,1,53.44,
120464,"Optixcare L-Lysine Chews - 60s",,,0,,,0,26.33,100,2,52.66,
119994,"Feline PVD DH 2.72kg",,,0,,,0,52.48,100,1,52.48,
125293,"Dextrose  50% 500 mls",,,0,12.2,50,4,12.2,50,4,52.4,
INJ3,"Oral medication/admin",7.42,100,1,7.42,60,5,7.42,60,5,51.94,false
100096,"Theophylline 100mg",21.9,100,1,21.9,100,1,21.9,33.3,3,50.38,false
144619,"Gabapentin 400mg (AURO)",,,0,18.6,66.7,3,18.6,66.7,3,50.08,
IOD,"Gentle Iodine (povidone-iodine topical )",,,0,,,0,25,100,2,50,
132260,"RC K9 GI Treats - 500g",16.46,100,1,16.46,100,1,16.74,66.7,3,49.94,true
BAYDEX,"Baytril/Dexamethadone Otic Sol 30 ml",,,0,49.9,100,1,49.9,100,1,49.9,
137312,"Max & Molly Liver Treats - 120g",,,0,,,0,12.43,100,4,49.72,
141312,"Synovi G4 Soft Chews (60s)",48.19,100,1,48.19,100,1,48.19,100,1,48.19,false
HSO,"Hospital Supplies - Ophthalmic",,,0,,,0,48.1,100,1,48.1,
121780,"IV Microbore T Connector Ext Set 7in",47.4,100,1,47.4,100,1,47.4,100,1,47.4,false
134073,"Emeraid Intensive Care Carnivore - 100mg",,,0,23.63,100,2,23.63,100,2,47.26,
119723,"DECLINED: Salbutamol 100mcg Inhaler",,,0,,,0,23.2,100,2,46.4,
900098,"Buster Clic Clear Collar 10cm",11.5,100,4,11.5,100,4,11.5,100,4,46,false
130780,"Flexadin Plus Cat + Sm Dog - 30s",,,0,,,0,22.72,100,2,45.44,
141280,"Diphenhydramine 50mg/ml",,,0,24.76,100,1,1.67,40,5,45.37,
125225,"Revolution Dog 20.1-40kg (Teal)",,,0,,,0,45.34,100,1,45.34,
143490,"Cerenia 160mg",45.18,100,1,45.18,100,1,45.18,100,1,45.18,false
920609,"Buster Under Const 7.5cm  E-collar",,,0,9.02,100,4,9.02,100,5,45.1,
140006,"Diclofenac 0.1% Ophthalmic",,,0,,,0,22.41,100,2,44.82,
142533,"Methocarbamol 750 mg",,,0,,,0,13.74,50,2,44.01,
121367,"Catalyst Lith Hep Whole Blood Sep 40/box",44,100,1,44,100,1,44,100,1,44,false
5822464,"Methocarbamol 200mg/ml",18.6,100,1,18.6,100,1,18.6,50,2,43.5,false
139264,"PVD K9 NF - 377g",,,0,,,0,5.3,33.3,3,42.4,
127715,"PVD Fel Essential Care Kitten 85g",,,0,,,0,42,100,1,42,
EXONT,"Nail Trim (Exotic) -Tech",,,0,20.5,100,2,20.5,100,2,41,
107276,"Antirobe Capsule 75mg",,,0,,,0,40.56,100,1,40.56,
135202,"After Surgery Wear - XXXL",,,0,40.3,100,1,40.3,100,1,40.3,
101386,"Tobrex 0.3% Ointment 3.5g",,,0,,,0,20.04,100,2,40.08,
STAN1,"Stanhexidine 4% Skin Cleanser Small Bott",,,0,,,0,10,100,4,40,
103361,"CET Toothpaste Seafood - 70g",,,0,,,0,10.6,75,4,39.37,
20,"Adjustments",38.92,100,1,38.92,100,1,38.92,100,1,38.92,false
119803,"Prazosin 1mg",,,0,,,0,14.59,40,5,38.91,
119986,"PVD K9 EN Fiber Balance",,,0,,,0,38.68,100,1,38.68,
METH25LI,"Methimazole 25 mg/ml Liquid",,,0,38.64,100,1,38.64,100,1,38.64,
141789,"XMAS K9 Christmas Loofa",,,0,9.64,100,4,9.64,100,4,38.56,
116921,"Hilarys Blend K9 - 350g",,,0,,,0,38.16,100,1,38.16,
111068,"Cat Attract Litter - 9.08kg",19.03,100,2,19.03,100,2,19.03,100,2,38.06,false
135616,"Posiflush BD Prefilled 10mL NaCL Syr (30",38,100,1,38,100,1,38,100,1,38,false
122351,"RC Fel GI Mod Cal - 1.5kg",,,0,,,0,37.73,100,1,37.73,
133022,"Simparica 5mg (1.3-2.5kg) Yellow",37.7,100,1,37.7,100,1,37.7,100,1,37.7,false
143074,"Diphenhydramine 50mg/ml",18.38,100,2,18.38,100,2,18.38,100,2,36.76,false
005424,"Thyro Tab 0.4mg",,,0,,,0,36.6,100,1,36.6,
135953,"Optixcare Eye Health RED - 20g",36.48,100,1,36.48,100,1,36.48,100,1,36.48,false
128563,"Caninsulin VetPen Needles 100/pkg",,,0,36.37,100,1,36.37,100,1,36.37,
125482,"Sucralfate 1g tabs",,,0,,,0,23.7,50,2,36.22,
108963,"CET Toothbrush - 24 pk",5.2,50,2,5.2,50,2,2.6,66.7,12,36.02,true
142472,"Furosemide 40mg tab",,,0,18,100,2,18,100,2,36,
0623,"Amitriptyline 10 mg/ml",,,0,,,0,36,100,1,36,
137313,"Max & Molly Liver Treats - 220g",15.48,100,1,15.48,100,1,15.48,50,2,35.75,false
131236,"RC Fel Renal Support S - 1.37kg",,,0,,,0,35.58,100,1,35.58,
129412,"RC Fel Urinary SO Mod Cal - 1.5kg",35.24,100,1,35.24,100,1,35.24,100,1,35.24,false
1016,"House Call (Per Kilometer)",35,100,1,35,100,1,35,100,1,35,false
DOXYC,"Doxycycline 50 mg/ml Summit",,,0,,,0,16.23,50,2,34.75,
103890,"Plasmalyte A Inj - 1000ml",6.87,50,2,6.87,50,2,6.87,50,2,34.35,false
118594,"Pro Otic Ear Cleaner - 4oz",20.96,100,1,20.96,100,1,20.96,50,2,33.82,false
113182,"Flexadin Chewable Tabs - 30s",,,0,33.48,100,1,33.48,100,1,33.48,
135198,"After Surgery Wear - M/L (15.7in)",33.1,100,1,33.1,100,1,33.1,100,1,33.1,false
DECIDU,"Extractions - Deciduous Teeth",,,0,33,100,1,33,100,1,33,
142474,"Omeprazole 20mg TEVA",32.8,100,1,32.8,100,1,32.8,100,1,32.8,false
0401,"DECLINED: Mirtazapine 2 mg Tab",,,0,,,0,16.35,100,2,32.7,
117713,"Oti-Scrub Foaming Ear Cleaner - 16oz",32.62,100,1,32.62,100,1,32.62,100,1,32.62,false
TORB,"Torbugesic Inj 10mg/ml  (Price/ml)",,,0,,,0,12.87,50,4,31.88,
130853,"Insulin Syr Sol-M U-100 0.3mL/30g/1/2""",31.54,100,1,31.54,100,1,31.54,100,1,31.54,false
PCV2,"PCV - Additional",15.3,100,2,15.3,100,2,15.3,100,2,30.6,false
118447,"Azithromycin Liquid 40mg/mL - 600mg",,,0,,,0,30.43,100,1,30.43,
132073,"Rayne K9 Kangaroo Treats - 200g",,,0,,,0,30.07,100,1,30.07,
NTAGAPP,"Nail Trim & Anal Glands with exam",,,0,,,0,30,100,1,30,
125369,"Chlor Palm 250 - 60ml",,,0,28.54,100,1,28.54,100,1,28.54,
141039,"Pregabalin 50mg Caps",,,0,,,0,27.6,100,1,27.6,
APOMORPH,"Apomorphine 3mg/ml",,,0,,,0,1.55,50,2,27.5,
125528,"Atravet 10 mg/ml",,,0,,,0,17.14,50,2,27.38,
124895,"Insulin Humulin R 100u/mL",,,0,13.16,100,2,13.16,100,2,26.32,
125404,"Novamoxin caps 500mg",,,0,,,0,26.28,100,1,26.28,
124131,"Cefazolin 1g 15mL per vial",,,0,,,0,26.24,100,1,26.24,
140356,"Douxo S3 Calm Pads - 30's",26.2,100,1,26.2,100,1,26.2,100,1,26.2,false
0502,"Pregabalin 75 mg",,,0,,,0,26,100,1,26,
141757,"XMAS Fel Pull-a Partz Yarnz",,,0,6.42,100,4,6.42,100,4,25.68,
137640,"Aventi Joint 250mL",,,0,,,0,24.72,100,1,24.72,
127046,"Vitamin B12 Inj. 1000mcg/ml",,,0,,,0,12.3,50,2,24.52,
116438,"IV Soln Set 10 drop 3 Ports 106""",24.35,100,1,24.35,100,1,24.35,100,1,24.35,false
139520,"CET Fel Intellident Bites",,,0,,,0,12.11,100,2,24.22,
125244,"Dexamethasone 5mg/ml Inj",12.1,100,2,12.1,100,2,12.1,100,2,24.2,false
142305,"Hairball EZ - Tuna",,,0,,,0,12.04,100,2,24.08,
134018,"Syringe SOL-M 60cc LL",24.06,100,1,24.06,100,1,24.06,100,1,24.06,false
136849,"XMAS K9 Zippy Paw Reindeer",8,100,1,8,100,3,8,100,3,24,false
134168,"DECLINED: Bravecto Fel Purple",,,0,,,0,12,100,2,24,
123836,"Pill Pockets K9 PeanutButter - Tabs",,,0,,,0,7.92,100,3,23.76,
142300,"Intra-Trac Kennel Cough Oral",,,0,,,0,23.16,100,1,23.16,
124226,"Meloxicam 10mL (1.5mg/ml)",,,0,,,0,22.41,100,1,22.41,
125136,"Hibitane Ointment 30g",,,0,,,0,11.2,100,2,22.4,
137403,"Hide & Treat PB & Banana - 150g",,,0,11.13,100,2,11.13,100,2,22.26,
137953,"PVD Fel OM Savory Selects Salmon - 156g",3.36,100,1,18.66,50,2,18.66,50,2,22.02,true
138893,"RC Fel Pill Assist - 45g",,,0,,,0,21.36,100,1,21.36,
127934,"Pill Pockets Dog Caps Chicken 448g",,,0,,,0,20.55,100,1,20.55,
EMEX5,"Add Walk In Fee",20,100,1,20,100,1,20,100,1,20,false
107798,"Syringe Ideal Disp 6cc Luer Slip Tip",19.8,100,1,19.8,100,1,19.8,100,1,19.8,false
137401,"Hide and Treat 150g",,,0,9.8,100,2,9.8,100,2,19.6,
145098,"XMAS Huggle Hound Wee Huggles each (6pk)",6.5,100,3,6.5,100,3,6.5,100,3,19.5,false
125037,"Baytril 15mg Tablet",,,0,19.44,100,1,19.44,100,1,19.44,
141727,"XMAS K9 Cheeky Chum Red Elf",,,0,9.53,100,2,9.53,100,2,19.06,
012320,"DECLINED: Tylosin 200mg tabs",,,0,,,0,9.45,100,2,18.9,
132146,"Vetoquinol Conditioner Aloe & Oat -275ml",18.03,100,1,18.03,100,1,18.03,100,1,18.03,false
STANH8,"Stanhexidine Scrub - 8OZ",,,0,9,100,2,9,100,2,18,
XMASMED,"Christmas Toy Medium",,,0,3,50,4,3,50,4,18,
141720,"XMAS K9 Cheeky Chum Santa",,,0,8.56,100,2,8.56,100,2,17.12,
136203,"CET Veggiedent Chews XS - 30s",,,0,,,0,16.78,100,1,16.78,
104245,"Syringe Terumo 30cc Luer LockTip-25s",16,100,1,16,100,1,16,100,1,16,false
126432,"Needle Mono 25g x 1 1/2 in PL HUB-100's",15.6,100,1,15.6,100,1,15.6,100,1,15.6,false
137967,"Catit Lickables Assorted - 12pk",6.38,100,1,6.38,100,1,6.38,50,2,15.32,false
125479,"DECLINED: Furosemide 40mg tab",,,0,15,100,1,15,100,1,15,
139617,"CET K9 Hextra Chews Small - 30s",14.77,100,1,14.77,100,1,14.77,100,1,14.77,false
99003527,"Acepromazine Maleate 10mg/ml",,,0,,,0,14.54,100,1,14.54,
144753,"Lidocaine 2% w preserv- EUGIA",,,0,14.25,100,1,14.25,100,1,14.25,
115288,"Pill Pockets K9 Chicken - Tabs",6.22,100,1,6.22,100,1,6.22,50,2,14.14,false
127722,"PVD Fel Ess Care Indoor - 85g",12.3,100,1,12.3,100,1,12.3,50,2,14.05,false
114355,"Forbid (per package)",7.26,100,1,7.26,100,1,7.26,50,2,13.72,false
110063,"Pill Pockets Fel Chicken",,,0,,,0,13.58,100,1,13.58,
126595,"Lactated Ringers 250ml Bag",8.98,50,2,8.98,50,2,8.98,50,2,13.47,false
145149,"Pill Pockets Fel Chicken",,,0,6.52,100,2,6.52,100,2,13.04,
125411,"Ampicillin Caps 250mg TEVA",12.71,100,1,12.71,100,1,12.71,100,1,12.71,false
141768,"Gloves Exam Black Nitrile Medium AURELIA",12.48,100,1,12.48,100,1,12.48,100,1,12.48,false
133981,"Syringe Exel 3ccLL-100s",12.32,100,1,12.32,100,1,12.32,100,1,12.32,false
133960,"Syringe Exel 3cc LL 22g x 1"" Needle",12.3,100,1,12.3,100,1,12.3,100,1,12.3,false
135606,"RC Fel Satiety - 2.9oz",,,0,,,0,11.1,100,1,11.1,
142546,"Max & Molly Minnie Liver Treats",,,0,,,0,10.47,100,1,10.47,
134027,"Hills Fel Metabolic Treats - 2.5oz",,,0,10.41,100,1,10.41,100,1,10.41,
STANH4,"Stanhexidine Scrub - 4OZ",,,0,5,100,2,5,100,2,10,
115290,"Pill Pockets K9 Chicken - Caps",,,0,,,0,9.95,100,1,9.95,
123837,"Pill Pockets K9 Hickory - Caps",,,0,,,0,9.94,100,1,9.94,
123838,"Pill Pockets K9 PeanutButter - Caps",,,0,,,0,9.94,100,1,9.94,
104360,"Potassium Chloride Inj 40meg 20ml",9.7,100,1,9.7,100,1,9.7,100,1,9.7,false
140171,"Foil Crinkle Balls",2,80,5,2,80,5,2,80,5,9,false
143508,"PVD K9 Gental Snackers Hydrolyzed & LF",8.9,100,1,8.9,100,1,8.9,100,1,8.9,false
139174,"RC Gastro Puppy - 145g",8.7,100,1,8.7,100,1,8.7,100,1,8.7,false
145152,"Pill Pockets K9 Chicken - Tabs 3.2oz",8.16,100,1,8.16,100,1,8.16,100,1,8.16,false
139151,"Greenie Fel Catnip - 60g",,,0,,,0,3.97,100,2,7.94,
126588,"Sodium Chloride 0.9% 250ml bag",7.7,100,1,7.7,100,1,7.7,100,1,7.7,false
139133,"Greenie Fel Treat Salmon - 60g",,,0,3.82,100,2,3.82,100,2,7.64,
145046,"XMAS Fel Kong Cat Yeti -refillable",6.9,100,1,6.9,100,1,6.9,100,1,6.9,false
110064,"Pill Pockets Fel Salmon",,,0,,,0,6.79,100,1,6.79,
141769,"Gloves Exam Black Large Nitrile-AURELIA",6.24,100,1,6.24,100,1,6.24,100,1,6.24,false
4958165,"Prednisolone 100mg/ml Summit",,,0,2.74,100,2,2.74,100,2,5.48,
126590,"NaCl Inj-1000 ml",4.27,100,1,4.27,100,1,4.27,100,1,4.27,false
136685,"Catit Lickables Chicken & Liver - 5pk",,,0,2.88,100,1,2.88,100,1,2.88,
137968,"Catit Lickables Tuna - 5pk",,,0,2.88,100,1,2.88,100,1,2.88,
117458,"Soft Paws Adhesive Glue",1.96,100,1,1.96,100,1,1.96,100,1,1.96,false
133961,"DECLINED: Syringe Exel 3cc LL 22g x 3/4""",1.5,100,1,1.5,100,1,1.5,100,1,1.5,false
125776,"DECLINED: Needle BD 25g x 5/8""",0.9,100,1,0.9,100,1,0.9,100,1,0.9,false
ECO,"Paper bag large",,,0,,,0,0.25,100,3,0.75,
ECO 2,"Paper bag small",,,0,,,0,0.25,100,1,0.25,
119257,"Dermacea Gauze Sponge 4ply 3""x 3"" 200's",0.03,100,1,0.03,100,1,0.03,100,1,0.03,false
