treatment_code,description,price_90d,confidence_90d_pct,usage_90d,price_180d,confidence_180d_pct,usage_180d,price_365d,confidence_365d_pct,usage_365d,revenue_365d,price_drifted
143740,"K9 PVD EN Low Fat 11.3kg",,,0,,,0,139.48,100,2,278.96,
132309,"Douxo Calm Mousse - 150mL",49.84,100,2,37.84,60,5,37.84,42.9,7,278.06,true
105646,"Phenobarbital 30mg tab",,,0,34.8,50,6,34.8,50,6,277.2,
119673,"Mometamax Otic - 30g",,,0,,,0,68.94,100,4,275.76,
134167,"DECLINED: Bravecto Fel Blue",,,0,,,0,68.65,100,4,274.6,
137474,"Denamarin Advanced Chew Tab Large (30s)",136.02,100,2,136.02,100,2,136.02,100,2,272.04,false
131066,"PVD Fel Ess. Care Kitten 3.6kg",61.96,100,1,57.84,66.7,3,57.84,40,5,270.18,true
NAIL1,"Nail Trim Add-On (Lg K9)",15,100,2,15,100,6,15,100,18,270,false
144605,"Fluoxetine 20mg Caps AURO",43.8,71.4,7,43.8,71.4,7,43.8,71.4,7,269.6,false
90902005,"Omeprazole 20mg/ml",18.18,40,5,19.73,30,10,19.73,13.6,22,269.41,true
133994,"Hills K9 d/d Venison - 25lbs",,,0,,,0,133.01,100,2,266.02,
119323,"Hills Fel c/d Chicken - 17.6lbs",132.14,100,2,132.14,100,2,132.14,100,2,264.28,false
HRFE,"Health Exam Recheck From Emergency",,,0,69,100,1,65,75,4,264,
SERU,"Ophthalmic Serum (including collection)",,,0,87,100,3,87,100,3,261,
1701,"Abscess Flush",,,0,,,0,65.1,100,4,260.4,
S2DR,"Senvelgo 2 Day Recheck",,,0,,,0,65,100,4,260,
S7DR,"Senvelgo 7 Day Recheck",,,0,,,0,65,100,4,260,
IVF,"Intravenous Fluids Add On (up to 24hr)",,,0,,,0,65,100,4,260,
119325,"Hills Fel i/d - 8.5lbs",,,0,,,0,86.61,100,3,259.83,
120507,"RC Fel GI Fibre Response - 2kg",,,0,51.88,100,2,51.88,100,5,259.4,
90912275,"Piroxicam 8mg capsule -  Summit",,,0,85.5,100,3,85.5,100,3,256.5,
124362,"RC K9 GI Mod Cal - 385g",,,0,,,0,63.96,100,4,255.84,
125217,"Zeniquin Tabs -  50mg",,,0,,,0,103.77,66.7,3,255.54,
139329,"RC Fel Selected Protein PD - 4kg",,,0,,,0,84.45,100,3,253.35,
MISCTR,"Major Ear Cleaning",36,100,2,36,100,3,36,100,7,252,false
130973,"Trazodone - 50mg",12.24,25,8,13.2,36.4,11,13.2,21.1,19,251,true
123185,"RC K9 Hepatic - 3.5kg",,,0,,,0,62.68,100,4,250.72,
COI,"Cryptorchid (Inguinal)",,,0,,,0,125,100,2,250,
142857,"Movoflex Advanced Chews 18-36kg - 60s",61.64,100,2,61.64,100,3,61.64,100,4,246.56,false
BUPSCONA,"Buprenorphine 0.8mg/ml per ml no flavor",,,0,,,0,15.6,33.3,6,245.6,
128485,"RC K9 Dental Small Dog - 10kg",,,0,,,0,122.6,100,2,245.2,
140902,"Interceptor Plus Green(3.7-11.3kg)",,,0,12.3,77.8,18,12.3,77.8,18,244.6,
135378,"Epi-otic Ear Cleanser 118 ml",18.04,50,4,18.04,66.7,6,18.04,76.9,13,242.49,false
LEP1,"Canine Leptospirosis Vaccination",,,0,,,0,30,100,8,240,
CPV,"Canine Parvo (CPV)",,,0,,,0,30,100,8,240,
ANEX,"Physical Examination",,,0,,,0,80,100,3,240,
132259,"RC Fel Urinary Treats - 220g",32.92,100,1,32.92,100,1,41.13,50,8,238,true
139339,"Methadone (Comfortan) 10 mg/ml",49.15,66.7,6,49.15,66.7,6,49.15,66.7,6,235.05,false
NSAID,"NSAID Panel (OUT)",,,0,,,0,117.5,100,2,235,
129826,"Isaderm Gel - 15g",,,0,48.91,100,2,31.2,33.3,6,234.04,
116624,"Omeprazole 20mg",33.3,66.7,3,33.3,40,5,33.3,18.2,11,233.06,false
125313,"DECLINED: Theraderm Cream 15 g",,,0,,,0,38.78,100,6,232.68,
AMIL,"Amitriptyline 100mg/ml transdermal 3 mls",,,0,,,0,115.08,100,2,230.16,
141069,"ProLiv SAMe TABS for LARGE DOGS - 30s",229.35,100,1,229.35,100,1,229.35,100,1,229.35,false
GERIPW,"Geriatric Chemistry only - OUT",227.7,100,1,227.7,100,1,227.7,100,1,227.7,false
140986,"Feliway Optimum Diffuser + Refill",,,0,,,0,40.59,66.7,6,225.34,
INH,"Spay In-Heat (Add On)",112.64,100,2,112.64,100,2,112.64,100,2,225.28,false
BML,"Bandage Material - Large",28,100,1,28,100,1,28,66.7,6,224,false
920614,"Buster Under Constr 25cm E-collar",20.34,100,1,20.34,100,3,20.34,100,11,223.74,false
121526,"Kit 4 Cat - Urine Collection Kit",13.77,100,2,13.77,100,9,13.77,52.9,17,222.49,false
137838,"Meloxadin Oral 1.5mg/ml 2x100ml",,,0,,,0,110.87,100,2,221.74,
119988,"PVD K9 EN - 2.72kg",,,0,35.1,100,3,35.1,50,6,221.34,
134066,"PVD K9 Essential Senior 14.1kg",109.43,100,2,109.43,100,2,109.43,100,2,218.86,false
105645,"Phenobarbital 15mg tab",,,0,,,0,80.4,50,2,217.8,
SCRAP,"Skin Tape impression",,,0,,,0,54.1,60,5,216.4,
920615,"Buster Under Constr 30cm E-collar",25.14,100,2,21.87,33.3,6,24.3,55.6,9,215.52,true
137102,"Thyro Tab 0.3mg",,,0,55.2,100,3,55.2,75,4,214.8,
125221,"Revolution Cat 2.6-7.5kg  (Blue)",,,0,28.34,80,5,28.34,66.7,6,213.72,
113452,"Fortiflora K9 Sachet",,,0,,,0,53.4,100,4,213.6,
134495,"Otizole Otic - 15ml",,,0,,,0,42.56,100,5,212.8,
144101,"PVD Fel Ess. Care Kitten 85g",36.84,33.3,6,1.54,33.3,9,1.54,33.3,9,210.86,true
119987,"K9 PVD DH Sm Bites 2.72kg",34.28,100,1,34.28,50,2,35.31,83.3,6,210.83,true
133691,"PVD K9 EN Low Fat - 380g",,,0,,,0,32.34,40,5,210.21,
VACCLC,"Feline FVRCP Vaccination 1st",,,0,,,0,30,100,7,210,
F2YC,"Feline FVRCP+Chlamidia Combined",35,100,6,35,100,6,35,100,6,210,false
4DX,"4Dx Plus screen Canine OUT",,,0,,,0,104.9,100,2,209.8,
143782,"K9 PVD EN Low Fat 7.48kg",,,0,,,0,104.88,100,2,209.76,
DECID,"Extractions - Deciduous Canine Tooth",,,0,,,0,104,100,2,208,
134072,"Gabapentin 400mg cap",,,0,,,0,36,50,8,206.8,
031319,"Fluid Monitoring -Additional Day",51.2,100,2,51.2,100,4,51.2,100,4,204.8,false
125237,"Virkon 5kg powder",204.46,100,1,204.46,100,1,204.46,100,1,204.46,false
SCAR,"Rescue  Microchip  Implantation",,,0,12,100,14,12,100,17,204,
GWBU,"Handcrafted Ceramic Urns",,,0,,,0,102,100,2,204,
100048,"Metronidazole 250mg",13.2,66.7,3,18.48,57.1,7,18.48,30.8,13,200.01,true
143856,"Pvd K9 EN Savory Selects Lamb",,,0,,,0,66.6,100,3,199.8,
119303,"Hills K9 k/d - 8.5lbs",67.8,100,2,67.8,66.7,3,67.8,66.7,3,198.19,false
132851A,"Cytopoint 40mg (Additional Vial)",,,0,,,0,98.09,100,2,196.18,
129837,"PVD K9 HA Chicken - 2.72kg",47.41,66.7,3,47.41,75,4,47.41,75,4,195.56,false
0819-22,"AFAST ultrasound RVC",195,100,1,195,100,1,195,100,1,195,false
S14DR,"Senvelgo 14 Day Recheck",,,0,,,0,65,100,3,195,
111859,"Famotidine inj 10 mg/ml",15.95,50,2,15.95,50,2,32.11,33.3,9,194.95,true
SHAVE,"Lion Shave with sedation",,,0,,,0,193.4,100,1,193.4,
AMETSYR,"Meloxicam 1.5mg/ml (APO)",25.86,25,8,25.86,25,8,25.86,25,8,191.42,false
139879,"Erythromycin 5mg/g Ophtalmic ointment",,,0,63.45,100,3,63.45,100,3,190.35,
108298,"DECLINED: Propalin HCL 50mg/ml Syrup 30m",,,0,,,0,63.08,100,3,189.24,
128223,"Viaderm KC cream 60g",,,0,,,0,62.82,100,3,188.46,
124310,"Proin Chewable Tab 50mg (60s)",,,0,,,0,59.07,33.3,3,188.11,
99012180,"Doxycycline 50 mg/ml Summit",,,0,52,100,3,52,75,4,188,
140730,"Fluoxetine 10mg caps",,,0,32.1,100,4,32.1,66.7,6,186.6,
0015A,"Mature Spay Add On / 10 Minutes",,,0,,,0,80,50,2,185.84,
90900828,"Metronidazole 100 mg/ml",22.36,100,1,3,50,4,5,16,25,185.44,true
128906,"Hills Fel i/d Chkn Stew - 2.9oz",19.75,100,1,19.75,100,1,3.01,37.5,8,185.3,true
HURWS,"Hernia Umbilical Repair with Spay",42,66.7,3,42,66.7,3,42,66.7,3,184.8,false
OXY,"Oxygen therapy - first hour",53.27,100,2,53.27,100,2,53.27,66.7,3,182.64,false
124309,"Proin Chewable Tab 25mg (60s)",59.08,66.7,3,59.08,66.7,3,59.08,66.7,3,182.26,false
PROG,"Progesterone Level OUT",,,0,,,0,180.9,100,1,180.9,
139689,"Douxo Pyo Shampoo - 500mL",,,0,45.12,100,1,45.12,100,4,180.48,
