treatment_code,description,list_price,confidence,tier,last_changed,months_held,charges_since_change,share_at_list_pct,alt1_price,alt1_count,alt2_price,alt2_count,uses_365d,revenue_365d
140582,"Clavamox Chews 375mg",48.54,63,MEDIUM,2025-06-01,1,1,100,,0,,0,2,97.08
HNSE,"Health Exam Non-Scheduled Appt. Emerg.",97,63,MEDIUM,2026-03-01,1,1,100,,0,,0,1,97
132332,"Feliway Classic Spray 60 ML",32.19,80,HIGH,2024-06-01,4,5,100,,0,,0,3,96.57
124097,"Clindamycin 150mg",18.45,48,LOW,2025-11-01,1,5,60,20.6,2,,0,5,96.55
BG,"Blood Glucose Test Additional",96,63,MEDIUM,2025-09-01,1,1,100,,0,,0,1,96
135156,"Emeraid Intensive Care Herbivore - 100mg",23.63,52,MEDIUM,2025-09-01,2,3,66.7,47.26,1,,0,3,94.52
129361,"AEROKAT Chamber",93.5,70,MEDIUM,2025-01-01,2,3,100,,0,,0,1,93.5
100096,"APO- Theophylline 100mg",16.62,37,LOW,2025-10-01,1,5,40,21.24,2,16.95,1,5,92.67
125224,"Revolution Dog 10.1-20 kg (Red)",45.82,65,MEDIUM,2025-08-01,1,2,100,,0,,0,2,91.64
128025,"Apo- Mirtazapine 15 mg  30's",12.74,63,MEDIUM,2025-11-01,1,1,100,,0,,0,4,91.32
118447,"Azithromycin Liquid 40mg/mL - 600mg",30.43,70,MEDIUM,2025-09-01,2,3,100,,0,,0,3,91.29
125225,"Revolution Dog 20.1-40 kg (Teal)",45.34,65,MEDIUM,2025-09-01,1,2,100,,0,,0,2,90.68
115873,"DERMOSCENT Ess Mousse for cats",53.31,63,MEDIUM,2026-03-01,1,1,100,,0,,0,2,90.19
304,"Cremation  Communal <10 kg",45,63,MEDIUM,2026-02-01,1,1,100,,0,,0,2,90
FN1,"FNA. w/ Cytology (In Clinic)",90,76,HIGH,2024-06-01,3,5,100,,0,,0,1,90
ADDU,"US guided Cystocentesis add on",30,81,HIGH,2019-02-01,2,33,93.9,57,2,,0,3,90
BA,"Bandage Application",89.9,63,MEDIUM,2025-08-01,1,1,100,,0,,0,1,89.9
127711,"PVD Ess. Care Adult 3.6kg",45.5,63,MEDIUM,2025-10-01,1,1,100,,0,,0,2,89.7
121378,"Buprenorphine 0.3mg/ml Inj (Vetergesic)",44.74,65,MEDIUM,2025-09-01,1,2,100,,0,,0,2,89.48
144561,"PVD Fel EN Savory Selects Turkey - 156g",88.56,63,MEDIUM,2025-12-01,1,1,100,,0,,0,1,88.56
107466,"Ketoconazole 200mg - APO",67.2,63,MEDIUM,2026-01-01,1,1,100,,0,,0,2,88.4
BUPSCONA,"Buprenorphine 0.8 mg/ml per ml Scona",87,63,MEDIUM,2025-06-01,1,1,100,,0,,0,1,87
SERU,"Ophthalmic Serum (including collection)",87,63,MEDIUM,2025-12-01,1,1,100,,0,,0,1,87
126062,"Otomax Ointment - 30g",85.73,63,MEDIUM,2026-03-01,1,1,100,,0,,0,1,85.73
90912275,"Piroxicam 8mg capsule -  Summit",85.5,63,MEDIUM,2025-12-01,1,1,100,,0,,0,1,85.5
103088,"Derma gel 100ml gel",48.78,63,MEDIUM,2025-08-01,1,1,100,,0,,0,2,85.36
127714,"canine PVD EC Senior-3.6kg",44.06,63,MEDIUM,2026-02-01,1,1,100,,0,,0,2,85.2
6353894,"DECLINED: Tacrolimus (oitnment) 0.02% Op",85.14,63,MEDIUM,2025-07-01,1,1,100,,0,,0,1,85.14
113353,"Hills K9 t/d -SB- 6.8kg",84.87,75,HIGH,2025-01-01,2,7,100,,0,,0,1,84.87
144237,"Voluven 250 mg",84.8,63,MEDIUM,2025-12-01,1,1,100,,0,,0,1,84.8
132102,"Canine CR Lyme",42.1,65,MEDIUM,2025-08-01,1,2,100,,0,,0,2,84.2
MCCSA,"Idexx - Calculus Stone Analysis",84.11,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,84.11
BML,"Bandage Material - Sending home",28,63,MEDIUM,2025-08-01,1,1,100,,0,,0,2,84
127715,"PVD Feline Essential Care Kitten 85g",42,65,MEDIUM,2025-08-01,1,2,100,,0,,0,2,84
116588,"Bio Balm K9 - 50mL",36.84,63,MEDIUM,2025-12-01,1,1,100,,0,,0,3,82.94
0220,"Blood Collection",41.3,70,MEDIUM,2024-11-01,2,3,100,,0,,0,2,82.6
128906,"Hills Fel i/d Chkn Stew - 2.9oz",3.01,70,MEDIUM,2025-06-01,2,3,100,,0,,0,4,81.27
133025,"Simparica 40mg (10.1-20kg) Teal",41.17,63,MEDIUM,2026-02-01,1,1,100,,0,,0,2,81
135202,"After Surgery Wear - XXXL",40.3,65,MEDIUM,2025-10-01,1,2,100,,0,,0,2,80.6
ANEX,"Physical Examination",80,63,MEDIUM,2025-08-01,1,1,100,,0,,0,1,80
0015A,"Mature Spay Add On / 10 Minutes",80,63,MEDIUM,2025-05-01,1,1,100,,0,,0,1,80
IHAO,"In Heat - Add On",80,69,MEDIUM,2025-02-01,2,2,100,,0,,0,1,80
124182,"Hills K9 Metabolic - 13oz",67.8,63,MEDIUM,2025-10-01,1,1,100,,0,,0,2,79.1
137174,"Hills K9 Metab + Mob Ckn - 8.5lbs",79,63,MEDIUM,2025-04-01,1,1,100,,0,,0,1,79
125672,"Hills Fel z/d - 4lbs",39.27,69,MEDIUM,2025-07-01,2,2,100,,0,,0,2,78.54
BUSP,"Buspirone HCL 10mg/ml (Summit)",78.3,63,MEDIUM,2025-04-01,1,1,100,,0,,0,1,78.3
USG,"USG (Urine Specific Gravity)",39,79,HIGH,2025-03-01,4,4,100,,0,,0,2,78
111859,"Famotidine inj 10 mg/ml",13.49,49,LOW,2025-07-01,1,3,66.7,18.84,1,,0,4,77.93
IVR,"Urin. Catheterization with Retropulsion",77.7,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,77.7
125313,"Theraderm Cream 15 g",38.78,85,HIGH,2025-02-01,4,13,100,,0,,0,2,77.56
RPO,"Radiograph - Post-Op",77,69,MEDIUM,2025-03-01,2,2,100,,0,,0,1,77
4DXADD,"Idexx 4Dx Plus screen Canine OUT-add on",76.5,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,76.5
121356A,"Zentonil Advanced 100 mg (30 tbs)",75.81,63,MEDIUM,2025-08-01,1,1,100,,0,,0,1,75.81
122351,"MCRC Fel GI Mod Cal - 1.5kg",37.73,65,MEDIUM,2025-09-01,1,2,100,,0,,0,2,75.46
100037,"Prednisone 50mg tab",14.72,65,MEDIUM,2025-10-01,1,2,100,,0,,0,5,75.3
NAIL1,"Nail Trim (With Appointment)",15,83,HIGH,2019-02-01,56,626,68.2,19,111,21,56,5,75
ORAL,"Oral Exam (Not including Sedation)",75,69,MEDIUM,2025-03-01,2,2,100,,0,,0,1,75
127046,"Vitamin B12 inj [1000ug]",12.44,63,MEDIUM,2025-12-01,1,1,100,,0,,0,6,74.99
131780,"MCRC Fel Multifuction Urin&Satiety 3kg",74.84,63,MEDIUM,2025-10-01,1,1,100,,0,,0,1,74.84
128947,"Bravecto 500mg Green Flea & Tick Chew",74.3,63,MEDIUM,2025-04-01,1,1,100,,0,,0,1,74.3
BMS,"Bandage Material - Small",18,67,MEDIUM,2025-11-01,1,3,100,,0,,0,5,73.24
GWMC,"Gateway Memorial Clay Paw Print",73,63,MEDIUM,2025-06-01,1,1,100,,0,,0,1,73
COCCYB,"Anesthesia - Coccygeal Block",73,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,73
134410,"Aventi joint formula 500ml",72.46,72,MEDIUM,2025-02-01,2,4,100,,0,,0,1,72.46
0623,"Amitriptyline 10 mg/ml",36,70,MEDIUM,2022-06-01,2,3,100,,0,,0,2,72
134072,"Gabapentin 400mg caps",36,63,MEDIUM,2025-05-01,1,1,100,,0,,0,2,72
PCV1,"PCV - First",36,75,HIGH,2024-08-01,3,4,100,,0,,0,2,72
PIVCO,"Peripheral IV Catheter - Only",72,76,HIGH,2025-02-01,3,5,100,,0,,0,1,72
129825,"Canaural Ear Drops 25ml",70.75,63,MEDIUM,2025-10-01,1,1,100,,0,,0,1,70.75
99012524,"Mirtazapine 2 mg Tab",24.56,38,LOW,2025-11-01,1,2,50,15.14,1,,0,3,70.54
140987,"Feliway Optimum Diffuser Refill - 48ml",70.14,63,MEDIUM,2025-08-01,1,1,100,,0,,0,1,70.14
1016,"House Call (Kilometer)",35,65,MEDIUM,2026-01-01,1,2,100,,0,,0,2,70
115205,"Catheter Terumo IV Surflash 22g x 1in",68.5,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,68.5
140032,"Inhibit Ointment 50gm",34.13,65,MEDIUM,2025-06-01,1,2,100,,0,,0,2,68.26
139177,"RC Gastro Kitten - 3.5kg",68.03,63,MEDIUM,2026-03-01,1,1,100,,0,,0,1,68.03
139962,"Flexadin Advanced cat chews 60",67.85,63,MEDIUM,2025-05-01,1,1,100,,0,,0,1,67.85
900122,"Buster Clic Classic Clear 40cm",67.51,63,MEDIUM,2026-02-01,1,1,100,,0,,0,1,67.51
90911965,"Piroxicam 1mg/ml (Summit)",66.9,63,MEDIUM,2025-08-01,1,1,100,,0,,0,1,66.9
140521,"RC K9 Gastro low fat- SB",66.43,69,MEDIUM,2025-01-01,2,2,100,,0,,0,1,66.43
DECIDU,"Extractions - Deciduous Teeth",33,65,MEDIUM,2025-10-01,1,2,100,,0,,0,2,66
127721,"PVD Fel Ess. Care Senior 1.6kg",33.75,63,MEDIUM,2026-02-01,1,1,100,,0,,0,2,65.25
117713,"Oti-Scrub Foaming Ear Cleaner - 16oz",32.62,65,MEDIUM,2026-02-01,1,2,100,,0,,0,2,65.24
1700,"Abcess Drain/ Flush / 10 Minutes",65.1,63,MEDIUM,2025-10-01,1,1,100,,0,,0,1,65.1
BUPESR,"Buprenorphine SR 3mg/ml Inj",33.29,38,LOW,2026-01-01,1,2,50,31.36,1,,0,2,64.65
113013,"Clinacin 25mg",32.1,65,MEDIUM,2025-11-01,1,2,100,,0,,0,2,64.2
124219,"Aventiclav 125mg tablet",32,65,MEDIUM,2025-12-01,1,2,100,,0,,0,2,64
920613,"Buster Under Constr  20cm  E-collar",15.94,91,HIGH,2024-12-01,7,12,100,,0,,0,4,63.76
117633,"Calcium Gluconate 10% per ml",31.85,65,MEDIUM,2025-12-01,1,2,100,,0,,0,2,63.7
UNAUC,"DECLINED: Urinalysis w Urine Culture (ID",63.38,63,MEDIUM,2025-07-01,1,1,100,,0,,0,1,63.38
131925,"Charac Activated Charcoal 50g - 225mL",12.72,63,MEDIUM,2025-11-01,1,1,100,,0,,0,3,63.36
011041,"Snap cPL - in house",62.5,65,MEDIUM,2025-04-01,1,2,100,,0,,0,1,62.5
140310,"Feliway Friends diffuser refill 3x48mls",62,74,MEDIUM,2023-04-01,3,3,100,,0,,0,1,62
131750,"Hills K9 c/d Chicken - 370g",61.56,63,MEDIUM,2025-04-01,1,1,100,,0,,0,1,61.56
1082988,"Propalin HCL 50mg/ml Syrup 30ml",60.88,84,HIGH,2024-03-01,4,10,100,,0,,0,1,60.88
127718,"PVD Fel Ess. Care Adult - 1.6kg",30.24,69,MEDIUM,2025-08-01,2,2,100,,0,,0,2,60.48
129939,"Hills Fel Metab Ckn&Veg Stew - 2.9oz",55.44,38,LOW,2025-09-01,1,2,50,4.62,1,,0,2,60.06
NOT,"Bandage Material To Go Home",30,65,MEDIUM,2025-08-01,1,2,100,,0,,0,2,60
1216,"Laser Engraving urns first line",30,75,HIGH,2023-12-01,3,4,100,,0,,0,2,60
143070,"Virbac Keratolux Medicated Shampoo 473ml",59.98,70,MEDIUM,2024-04-01,2,3,100,,0,,0,1,59.98
137593,"Glandex Salmon Flavoured Powder 5.5oz",59.85,80,HIGH,2024-08-01,4,5,100,,0,,0,1,59.85
132529,"Glandex Chews - 60",59.57,70,MEDIUM,2025-03-01,2,3,100,,0,,0,1,59.57
124104,"Gabapentin 600 mg tbs",12.35,58,MEDIUM,2025-09-01,2,4,75,22.15,1,,0,4,59.2
116,"Anaesthetic - Local",59.2,96,HIGH,2023-12-01,11,28,100,,0,,0,1,59.2
EXT2,"Extractions - 2 Rooted tooth",58.8,63,MEDIUM,2026-02-01,1,1,100,,0,,0,1,58.8
120515,"MCRC K9 GI Mod Cal 4 kg",58.62,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,58.62
139261,"PVD Fel Urinary Health Treats - 51g",6.5,74,MEDIUM,2025-11-01,3,3,100,,0,,0,6,58.5
SHA1,"Total Body Shave",58.5,63,MEDIUM,2026-02-01,1,1,100,,0,,0,1,58.5
129804,"Malacetic Shampoo - 355ml",29.24,65,MEDIUM,2025-10-01,1,2,100,,0,,0,2,58.48
IVINJ,"Intravenous Injection",58,63,MEDIUM,2025-06-01,1,1,100,,0,,0,1,58
EXTVMIN,"Extractions -Very Minor/Crown Amputation",58,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,58
128311,"Fructosamine Add On (In Clinic)",57.1,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,57.1
0301,"Cyclosporine 50 mg 30 cps) SUMMIT",56.38,69,MEDIUM,2024-04-01,2,2,100,,0,,0,1,56.38
127716,"PVD Fel Ess. Care Kitten 1.6kg",29.69,38,LOW,2025-11-01,1,2,50,26.12,1,,0,2,55.81
DARBO,"DECLINED: Aranesp (Darbepoetin Alfa) 10m",55.62,63,MEDIUM,2025-05-01,1,1,100,,0,,0,1,55.62
90902005,"Omeprazole 20mg/ml",0.46,63,MEDIUM,2025-11-01,1,1,100,,0,,0,6,55.36
METH25LI,"Methimazole 25 mg/ml Liquid",16.44,38,LOW,2025-11-01,1,2,50,38.64,1,,0,2,55.08
ANEXX,"Physical  Exam for Immunization",55,63,MEDIUM,2025-04-01,1,1,100,,0,,0,1,55
108961,"Viralys Gel - 5oz",27.44,65,MEDIUM,2025-09-01,1,2,100,,0,,0,2,54.88
132256,"RC Fel Hypo Treat - 220g",13.71,75,HIGH,2025-08-01,3,4,100,,0,,0,4,54.84
130024,"Glargine (Lantus) Insulin - 3mL",54.48,63,MEDIUM,2026-02-01,1,1,100,,0,,0,1,54.48
133842,"RC Fel Anallergenic - 2.5kg",54.27,63,MEDIUM,2025-08-01,1,1,100,,0,,0,1,54.27
141280,"Diphenhydramine 50mg/ml",20.51,63,MEDIUM,2025-11-01,1,1,100,,0,,0,4,54.03
140656,"CANINE PVD HA W/ SALMON 2.72KG",53.89,63,MEDIUM,2026-03-01,1,1,100,,0,,0,1,53.89
104865,"Baytril Otic 15 ml",53.76,63,MEDIUM,2026-02-01,1,1,100,,0,,0,1,53.76
118594,"Pro Otic Ear Cleaner 4oz",13.3,70,MEDIUM,2025-10-01,2,3,100,,0,,0,4,52.76
120464,"OPTIXCARE -  L-Lysine Chews - 60 Chews",26.33,90,HIGH,2019-10-01,18,31,87.1,22.38,4,,0,2,52.66
119994,"Feline PVD DH 2.72kg",52.48,63,MEDIUM,2025-07-01,1,1,100,,0,,0,1,52.48
116624,"Omeprazole 20mg",33.3,63,MEDIUM,2026-01-01,1,1,100,,0,,0,2,52.4
142533,"Methocarbamol 750 mg",20.7,63,MEDIUM,2025-12-01,1,1,100,,0,,0,2,50.97
99012165,"Apomorphine 3mg/ml",47.65,63,MEDIUM,2026-03-01,1,1,100,,0,,0,2,50.84
129813,"Trizedta Aqueous Flush 437ml (16oz)",50.38,63,MEDIUM,2025-05-01,1,1,100,,0,,0,1,50.38
107290,"Depo-Medrol 40mg/ml per ml",15.5,63,MEDIUM,2025-11-01,1,1,100,,0,,0,3,50
URIN1,"Urinalysis Stick & S.G (In house)",50,86,HIGH,2024-05-01,5,8,100,,0,,0,1,50
ANALGLAN,"Anal Gland Expression - Technologist",49.99,63,MEDIUM,2026-03-01,1,1,100,,0,,0,1,49.99
BAYDEX,"Baytril/Dexamethadone Otic Sol 30 ml",49.9,63,MEDIUM,2025-10-01,1,1,100,,0,,0,1,49.9
125469,"Prednisone 50mg tablet [Teva]",23.38,63,MEDIUM,2026-03-01,1,1,100,,0,,0,3,49.78
EZBRUSH,"EZ Scrub Brush w/Chlorhex 4%",49.38,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,49.38
131067,"PVD fel Essential care Indoor 3.6 kg",49.11,63,MEDIUM,2026-03-01,1,1,100,,0,,0,1,49.11
130853,"Insulin Syr SolM U100 0.3ml 30gx1/2'",31.54,63,MEDIUM,2026-02-01,1,1,100,,0,,0,2,48.74
124331,"Furosemide Inj 10mg/ml",14.09,63,MEDIUM,2026-01-01,1,1,100,,0,,0,4,48.29
141312,"Synovi G4 Soft Chews (60s)",48.19,63,MEDIUM,2026-02-01,1,1,100,,0,,0,1,48.19
HSO,"Hospital Supplies - Ophthalmic",48.1,63,MEDIUM,2025-06-01,1,1,100,,0,,0,1,48.1
125217,"Zeniquin 50 mg/tb",48,63,MEDIUM,2025-05-01,1,1,100,,0,,0,1,48
139264,"PVD K9 NF - 377g",10.6,63,MEDIUM,2025-11-01,1,1,100,,0,,0,3,47.7
121780,"IV Microbore T Connector Ext Set 7in",47.4,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,47.4
134074,"Emeraid Intensive Care Omnivore - 100mg",23.63,65,MEDIUM,2025-10-01,1,2,100,,0,,0,2,47.26
110064,"Pill Pockets Fel Salmon",6.52,65,MEDIUM,2025-11-01,1,2,100,,0,,0,6,46.99
CEFSO,"Cefazolin Sodium Inj. - 1g",46.48,63,MEDIUM,2025-06-01,1,1,100,,0,,0,1,46.48
123318,"Denta Chlorhexidine Oral Rinse 8oz",19.76,63,MEDIUM,2025-11-01,1,1,100,,0,,0,3,46.44
123836,"Pill Pockets K9 PeanutButter - Tabs",7.6,73,MEDIUM,2025-10-01,2,5,100,,0,,0,6,45.92
143490,"Cerenia 160mg",45.18,63,MEDIUM,2026-02-01,1,1,100,,0,,0,1,45.18
141192,"Denta Chlorhexidine Oral wipes 100's",22.54,75,HIGH,2024-10-01,3,4,100,,0,,0,2,45.08
139869,"Ubavet Dental Care Water Additive",44.76,63,MEDIUM,2025-04-01,1,1,100,,0,,0,1,44.76
121367,"Catalyst Lith Hep Whole Blood Sep 40/box",44,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,44
130160,"Profender Medium 2.6-5kg",21.89,69,MEDIUM,2025-06-01,2,2,100,,0,,0,2,43.78
124126,"Therabites Fel Hairball - 20s",14.48,74,MEDIUM,2025-09-01,3,3,100,,0,,0,3,43.44
144642,"Rayne Simple Freeze Dried Kangaroo 142g",43.44,63,MEDIUM,2025-05-01,1,1,100,,0,,0,1,43.44
104286,"Infusn Set Wing Butterfly12"" 23gx3/4""50s",43.35,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,43.35
02412470,"Pyrantel Pamoate 50mg/ml (Summit)",11.1,63,MEDIUM,2025-12-01,1,1,100,,0,,0,4,43.21
121855,"Medical Pet Shirt XXS",43.04,63,MEDIUM,2025-12-01,1,1,100,,0,,0,1,43.04
123539,"PVD K9 OM Select 2.72kg",43.01,63,MEDIUM,2025-05-01,1,1,100,,0,,0,1,43.01
HURWS,"Hernia Umbilical Repair with Spay",42,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,42
101647,"KMR Kitten Milk Replacer - 6oz/170g",20.37,65,MEDIUM,2025-10-01,1,2,100,,0,,0,2,40.74
107276,"Antirobe Capsule 75 mg",40.56,63,MEDIUM,2025-08-01,1,1,100,,0,,0,1,40.56
115014,"cat litter natures miracle corn",20.2,65,MEDIUM,2026-01-01,1,2,100,,0,,0,2,40.4
139692,"Douxo Calm Shampoo - 200mL",40.39,63,MEDIUM,2026-03-01,1,1,100,,0,,0,1,40.39
134709,"Dermachlor 4% Shampoo- 236ml",39.78,63,MEDIUM,2025-05-01,1,1,100,,0,,0,1,39.78
920609,"Buster Under Const 7.5cm  E-collar",9.02,63,MEDIUM,2025-11-01,1,1,100,,0,,0,5,39.7
122471,"RC Urinary s/o SB 2kg",39.18,63,MEDIUM,2025-12-01,1,1,100,,0,,0,1,39.18
20,"Adjustments",38.92,63,MEDIUM,2026-02-01,1,1,100,,0,,0,1,38.92
129810,"Malacetic Otic - 237ml",38.81,63,MEDIUM,2026-02-01,1,1,100,,0,,0,1,38.81
119986,"PVD K9 EN Fiber Balance",38.68,63,MEDIUM,2025-06-01,1,1,100,,0,,0,1,38.68
123464,"Hilarys Renal Blend 350g",38.5,84,HIGH,2019-02-01,3,40,92.5,77,3,,0,1,38.5
125293,"Dextrose  50% 500 mls",12.2,38,LOW,2025-12-01,1,2,50,14,1,,0,3,38.24
116921,"Hilarys Blend K9 - 350g",38.16,63,MEDIUM,2025-08-01,1,1,100,,0,,0,1,38.16
135616,"Posiflush BD Prefilled 10mL NaCL Syr (30",38,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,38
133022,"Simparica 5mg (1.3-2.5kg) Yellow",37.7,63,MEDIUM,2026-02-01,1,1,100,,0,,0,1,37.7
144041,"Alfaxan (Alfaxalone) Multidose - 20mL",22.61,63,MEDIUM,2025-12-01,1,1,100,,0,,0,2,37.21
117887,"PVD Fel EN - 156g",36.9,63,MEDIUM,2025-10-01,1,1,100,,0,,0,1,36.9
125244,"Dexamethasone 5mg/ml inj",12.32,63,MEDIUM,2025-11-01,1,1,100,,0,,0,3,36.79
127758,"Collar Comfy Cone X-Lrg 30cm",36.67,63,MEDIUM,2025-06-01,1,1,100,,0,,0,1,36.67
005424,"Thyro Tab 0.4mg",36.6,79,HIGH,2025-01-01,4,4,100,,0,,0,1,36.6
135953,"Optixcare Eye Health (RED) 20 g",36.48,63,MEDIUM,2026-02-01,1,1,100,,0,,0,1,36.48
128563,"Caninsulin VetPen Needles 100/pkg",36.37,63,MEDIUM,2025-10-01,1,1,100,,0,,0,1,36.37
131236,"MCRC Fel Renal Support S 1.37kg",35.58,63,MEDIUM,2025-07-01,1,1,100,,0,,0,1,35.58
129412,"RC Fel Urinary SO Mod Cal - 1.5kg",35.24,63,MEDIUM,2026-02-01,1,1,100,,0,,0,1,35.24
135200,"After Surgery Wear - XL",35.17,63,MEDIUM,2026-02-01,1,1,100,,0,,0,1,35.17
101377,"Maxitrol Opth 0.1% 5mL",35.05,82,HIGH,2025-01-01,4,7,100,,0,,0,1,35.05
193693,"duoxo s3 calm shampoo",34.29,76,HIGH,2024-06-01,3,5,100,,0,,0,1,34.29
141720,"XMAS K9 Cheeky Chum Santa",8.56,69,MEDIUM,2025-12-01,1,4,100,,0,,0,4,34.24
041823,"Pregabalin 20 mg/ml",34.08,63,MEDIUM,2025-05-01,1,1,100,,0,,0,1,34.08
123875,"Rheumocam (Meloxicam) 15ml",33.76,63,MEDIUM,2025-09-01,1,1,100,,0,,0,1,33.76
135198,"After Surgery Wear - M/L (15.7in)",33.1,63,MEDIUM,2026-02-01,1,1,100,,0,,0,1,33.1
100760,"Hydromorphone inj 10 mg/ml",33,63,MEDIUM,2025-06-01,1,1,100,,0,,0,1,33
142474,"Omeprazole 20mg TEVA",32.8,63,MEDIUM,2026-02-01,1,1,100,,0,,0,1,32.8
GINHYP,"Gingival Hyperplasia Resection",32.5,63,MEDIUM,2026-03-01,1,1,100,,0,,0,1,32.5
137879,"Gabapentin 600 mg tab",32.3,63,MEDIUM,2025-08-01,1,1,100,,0,,0,1,32.3
128175,"Trazodone 100 mg",32,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,32
134295,"K9 Soft Baked Treats",15.58,69,MEDIUM,2025-09-01,2,2,100,,0,,0,2,31.16
102606,"CET Toothpaste Beef 70g",10.19,85,HIGH,2024-07-01,5,7,100,,0,,0,3,30.57
125528,"Atravet 10 mg/ml inj",12.51,38,LOW,2025-11-01,1,2,50,17.65,1,,0,2,30.16
132073,"Rayne Kangaroo Treats 200g",30.07,69,MEDIUM,2023-04-01,2,2,100,,0,,0,1,30.07
NTAGAPP,"Nail Trim & Anal Glands with exam",30,100,HIGH,2019-02-01,44,144,100,,0,,0,1,30
106380,"Disposable Toothbrush - 100 pk",28,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,28
TORB,"Torbugesic Inj 10mg/ml  (Price/ml)",12.87,63,MEDIUM,2025-08-01,1,1,100,,0,,0,2,27.5
124220,"Aventiclav 250mg tablet",27.4,63,MEDIUM,2025-12-01,1,1,100,,0,,0,1,27.4
110063,"Pill Pockets Feline Chicken 1.6 oz",6.52,55,MEDIUM,2025-10-01,1,4,75,6.79,1,,0,4,26.35
125391,"ALLERG-3 Liquid Pump Omega 3 237ml",25.5,63,MEDIUM,2025-10-01,1,1,100,,0,,0,1,25.5
108963,"CET Pet Toothbrush",2.6,65,MEDIUM,2025-09-01,2,6,83.3,1.93,1,,0,9,25.33
5822464,"Methocarbamol 200mg/ml",24.9,63,MEDIUM,2025-08-01,1,1,100,,0,,0,1,24.9
140006,"Diclofenac 0.1% Ophthalmic",24.15,63,MEDIUM,2025-10-01,1,1,100,,0,,0,1,24.15
142305,"Hairball EZ - Tuna",12.04,69,MEDIUM,2025-08-01,2,2,100,,0,,0,2,24.08
103039,"CET Toothpaste Samples - 12g",24.08,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,24.08
128800,"Christmas Toy Small",8,41,LOW,2025-12-01,1,4,50,6,1,2,1,4,24
104863,"Metacam Oral 100ml",12,65,MEDIUM,2025-10-01,1,2,100,,0,,0,2,24
128844,"Feliway Spray 20 ml",23.88,63,MEDIUM,2025-08-01,1,1,100,,0,,0,1,23.88
107461,"Syringe Ideal Disp 12cc Luer Slip Tip",23.1,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,23.1
115288,"Pill Pockets K9 Chicken 3.2 oz",7.62,67,MEDIUM,2025-10-01,1,3,100,,0,,0,3,22.86
130780,"Flexadin Plus Fel & Sm K9 30 Chews",22.72,63,MEDIUM,2025-08-01,1,1,100,,0,,0,1,22.72
BMM,"Bandage Material - Medium",22.5,63,MEDIUM,2025-08-01,1,1,100,,0,,0,1,22.5
125660,"Hills Fel i/d - 156g",18.6,63,MEDIUM,2025-12-01,1,1,100,,0,,0,2,22.32
142178,"Soothe Eye Wash 120ml",21.5,69,MEDIUM,2024-03-01,2,2,100,,0,,0,1,21.5
138893,"RC Fel Pill Assist - 45g",21.36,63,MEDIUM,2025-08-01,1,1,100,,0,,0,1,21.36
102968,"CET Toothpaste Poultry - 70g",10.6,63,MEDIUM,2025-11-01,1,1,100,,0,,0,2,21.2
102594,"CET Enzymatic Toothpaste Van Mint 70gm",10.6,69,MEDIUM,2025-09-01,2,2,100,,0,,0,2,21.2
144604,"Fluoxetine 10mg caps AURO",21,63,MEDIUM,2025-12-01,1,1,100,,0,,0,1,21
142546,"Max & Molly Minnie Liver Treats",10.47,65,MEDIUM,2025-10-01,1,2,100,,0,,0,2,20.94
137954,"PVD Fel OM Crunchy Bites - 51g",13.56,63,MEDIUM,2025-11-01,1,1,100,,0,,0,2,20.34
101386,"Tobrex 0.3% Ointment 3.5",20.04,69,MEDIUM,2024-12-01,2,2,100,,0,,0,1,20.04
123837,"Pill Pockets K9 Hickory - Caps",9.94,87,HIGH,2023-12-01,6,6,100,,0,,0,2,19.88
111068,"Cat Attract Litter - 9.08kg",19.03,63,MEDIUM,2026-01-01,1,1,100,,0,,0,1,19.03
116432,"Pro Otic Ear Cleaner - 8oz",18.56,63,MEDIUM,2025-11-01,1,1,100,,0,,0,1,18.56
103361,"CET Toothpaste Seafood - 70g",7.57,63,MEDIUM,2025-09-01,1,1,100,,0,,0,2,18.17
136203,"CET Veggiedent Chews XS -30s",16.78,63,MEDIUM,2025-11-01,1,1,100,,0,,0,1,16.78
8773397,"APO - Prazo 1 mg (Summit)",16.56,63,MEDIUM,2025-12-01,1,1,100,,0,,0,1,16.56
