treatment_code,description,list_price,confidence,tier,last_changed,months_held,charges_since_change,share_at_list_pct,alt1_price,alt1_count,alt2_price,alt2_count,uses_365d,revenue_365d
124395,"Cartrophen Inj",43.42,63,MEDIUM,2026-03-01,1,1,100,,0,,0,70,3253.12
0023,"Feline Spay",298,63,MEDIUM,2026-02-01,1,1,100,,0,,0,17,3149.2
GENAL2,"General Health (15) CBC  Lytes  SDMA",222.9,82,HIGH,2025-08-01,3,14,100,,0,,0,14,3120.6
01011,"Sedation IM 20-40 Kg",98.55,63,MEDIUM,2025-12-01,1,1,100,,0,,0,35,3109.25
130004,"Hills Fel t/d - 3.85kg",88.21,65,MEDIUM,2026-02-01,1,2,100,,0,,0,37,3100.17
139870,"Fortiflora PRO K9 Sachet",41.1,70,MEDIUM,2025-10-01,5,71,50.7,9.59,13,19.18,9,105,3099.78
113573,"Hills Fel c/d Ocean Fish - 5.5oz",78,63,MEDIUM,2026-02-01,1,1,100,,0,,0,53,3066.9
0022,"Feline Neuter",216,41,LOW,2025-12-01,1,4,50,72,2,,0,32,3024
107354,"Surolan Drops 15ml",55.96,70,MEDIUM,2026-02-01,2,9,88.9,47.57,1,,0,53,2804.02
102011,"Senior Feline Platinum Package Promo",699,69,MEDIUM,2025-11-01,1,4,100,,0,,0,4,2796
120508,"MCRC Fel GI Fibre Response - 4 kg",87.54,65,MEDIUM,2025-10-01,3,8,75,85.63,2,,0,32,2751.62
125207,"Clavamox Drops 62.5mg/ml 15ml",63.78,65,MEDIUM,2026-03-01,1,2,100,,0,,0,46,2693.33
106544,"Vetmedin 1.25mg",42.24,63,MEDIUM,2026-02-01,1,1,100,,0,,0,46,2660.36
333F,"Feline FVRCP (3yr)",30,99,HIGH,2022-05-01,45,348,98.9,15,2,4.68,1,88,2610
132101T,"APOQUEL 16mg per Tablet",232.2,63,MEDIUM,2025-12-01,1,1,100,,0,,0,19,2501.06
0929,"Senior Canine Gold Package Promo",395,71,MEDIUM,2025-11-01,1,6,100,,0,,0,6,2370
VACC3,"Puppy 2 - Da2ppv",30,98,HIGH,2022-04-01,47,460,97,18,10,38,1,79,2358
135950,"Interceptor Plus Chew Blue (22.8-45.4KG)",53.06,63,MEDIUM,2026-02-01,1,1,100,,0,,0,53,2327.67
ANAL,"Anal Glands",35.5,100,HIGH,2022-08-01,41,246,99.6,17.75,1,,0,66,2325.25
TOTT 4,"Total T4 (In Clinic)",53.95,83,HIGH,2025-12-01,4,9,100,,0,,0,26,2319.85
140363,"Librela - 5mg/ml (First Vial)",87.8,94,HIGH,2025-08-01,6,20,100,,0,,0,27,2283.13
121047,"MCRC K9 GI Low Fat 385g",12.38,63,MEDIUM,2026-02-01,1,1,100,,0,,0,35,2272.51
117004,"RC Fel Urinary SO - 1.5kg",35.33,74,MEDIUM,2026-02-01,2,6,100,,0,,0,65,2270.54
