treatment_code,description,list_price,last_changed,days_held,months_held,previous_price,last_old_price_date,confidence,tier,share_pct,charges_in_run,drifting,drift_price,drift_months,uses_365d,revenue_365d
PRCR1,"Priv. Cremation w/ Scatter tube <9kg",112.5,2025-01-18,442,13,105,2025-01-06,98,HIGH,97.1,69,false,,0,50,5625
140513,"RC Fel Urinary SO - 145g",69.6,2025-06-06,303,8,33.36,2025-06-04,90,HIGH,81,58,true,72.48,2,79,5478.32
117505,"PVD Fel UR ST/OX - 7.26kg",113.69,2025-11-04,152,3,111.45,2025-10-27,74,MEDIUM,90,10,true,118.24,2,48,5412.74
408,"Oral Timed Surgery /10 Min",652.8,2024-08-01,612,3,1305.6,2024-07-16,44,LOW,33.3,12,true,870.4,1,6,5331.2
FTES,"Fluid Therapy - Elective Surgery",55,2025-08-25,223,7,33,2025-08-11,82,HIGH,67.6,68,false,,0,109,5326.75
307,"Cremation Communal 1kg-10kg(2.3lbs-22lbs",78,2026-01-20,75,3,60,2026-01-03,78,HIGH,93.3,15,false,,0,83,5232
DENTALFE,"Dental Clean (incl. polish) Feline",320,2025-01-23,437,8,335,2024-09-11,96,HIGH,100,23,true,320,2,17,5220.5
1VW,"X-Rays 1 View",150,2024-12-17,474,15,90,2024-12-13,90,HIGH,82.3,79,false,,0,37,5214
125207,"Clavamox Drops 62.5mg/ml 15ml",59.69,2025-08-12,236,6,51.68,2025-07-01,90,HIGH,86.7,30,true,115.56,1,51,5103.88
ULTRA,"Ultrasound Abdomen",494,2024-02-17,778,11,475,2023-11-28,91,HIGH,90.9,22,false,,0,10,4989.4
117906,"Hills K9 z/d 25 lbs",160.7,2025-05-07,333,6,152.68,2025-04-15,94,HIGH,96,25,true,160.64,1,30,4965.54
131069,"PVD Fel UR ST/OX Salmon - 156g",5.34,2023-01-05,1186,3,8.01,2022-12-30,55,MEDIUM,55.6,9,true,75.84,2,62,4931.18
100,"Anesthesia (IInduction+Isof 30min)",250,2025-03-11,390,10,198,2024-12-04,94,HIGH,95.8,24,false,,0,20,4900
BLOOD,"Bloodwork - General Pannel",222.9,2024-07-05,639,7,123,2019-02-03,97,HIGH,100,27,false,,0,21,4680.9
99005471,"Gabapentin 100mg/ml Aqueous",44.7,2025-10-03,184,3,18.54,2025-10-02,48,LOW,26,50,true,44.7,1,143,4503.69
