treatment_code,description,list_price,last_changed,days_held,months_held,previous_price,last_old_price_date,confidence,tier,share_pct,charges_in_run,drifting,drift_price,drift_months,uses_365d,revenue_365d
132256,"RC Fel Hypo Treat - 220g",14.71,2024-07-03,641,3,10.51,2024-05-27,68,MEDIUM,83.3,6,true,13.71,1,4,51.64
125391,"ALLERG-3 Liquid Pump Omega 3 237ml",22.8,2019-02-03,2618,1,,,74,MEDIUM,88.4,43,true,25.5,1,2,51
129813,"Trizedta Aqueous Flush 437ml (16oz)",41.98,2019-02-03,2618,3,,,34,LOW,25,4,false,,0,1,50.38
URIN1,"Urinalysis Stick & S.G (In house)",50,2025-02-04,425,3,38.1,2023-05-19,79,HIGH,100,9,false,,0,1,50
ANALGLAN,"Anal Gland Expression - Technologist",49.99,2026-03-05,31,1,,,63,MEDIUM,100,1,false,,0,1,49.99
BAYDEX,"Baytril/Dexamethadone Otic Sol 30 ml",49.9,2025-10-15,172,1,,,63,MEDIUM,100,1,false,,0,1,49.9
EZBRUSH,"EZ Scrub Brush w/Chlorhex 4%",49.38,2026-01-14,81,1,,,63,MEDIUM,100,1,false,,0,1,49.38
125244,"Dexamethasone 5mg/ml inj",29.4,2024-07-03,641,4,30.6,2024-05-25,69,MEDIUM,68.8,16,true,12.04,1,5,49.37
115342,"Cerenia 160mg",41.1,2023-02-04,1156,3,55.65,2022-10-20,59,MEDIUM,66.7,6,true,24.59,1,2,49.18
124226,"Meloxicam 10mL (1.5mg/ml)",25.88,2019-02-03,2618,12,,,82,HIGH,67.8,59,true,24.15,1,2,48.3
141312,"Synovi G4 Soft Chews (60s)",48.19,2026-02-14,50,1,,,63,MEDIUM,100,1,false,,0,1,48.19
HSO,"Hospital Supplies - Ophthalmic",48.1,2025-06-16,293,1,,,63,MEDIUM,100,1,false,,0,1,48.1
SCAR,"Rescue  Microchip  Implantation",12,2019-02-03,2618,31,,,97,HIGH,95.1,122,false,,0,4,48
121780,"IV Microbore T Connector Ext Set 7in",47.4,2026-01-22,73,1,,,63,MEDIUM,100,1,false,,0,1,47.4
142300,"Intra-Trac Kennel Cough Oral",23.16,2025-04-08,362,1,,,65,MEDIUM,100,2,false,,0,2,46.32
125224,"Revolution Dog 10.1-20 kg (Red)",33.58,2023-02-01,1159,4,47.32,2021-10-29,47,LOW,40,5,true,75.7,2,1,45.82
NAIL1,"Nail Trim (With Appointment)",15,2022-08-04,1340,24,13.5,2022-07-26,97,HIGH,94.7,131,false,,0,3,45
139869,"Ubavet Dental Care Water Additive",44.76,2025-04-22,348,1,,,63,MEDIUM,100,1,false,,0,1,44.76
121367,"Catalyst Lith Hep Whole Blood Sep 40/box",44,2026-01-22,73,1,,,63,MEDIUM,100,1,false,,0,1,44
144642,"Rayne Simple Freeze Dried Kangaroo 142g",43.44,2025-05-16,324,1,,,63,MEDIUM,100,1,false,,0,1,43.44
104286,"Infusn Set Wing Butterfly12"" 23gx3/4""50s",43.35,2026-01-17,78,1,,,63,MEDIUM,100,1,false,,0,1,43.35
121855,"Medical Pet Shirt XXS",30.74,2020-07-27,2078,2,,,52,MEDIUM,66.7,3,false,,0,1,43.04
123539,"PVD K9 OM Select Blend - 2.72kg",54.82,2020-11-28,1954,2,,,41,LOW,50,2,false,,0,1,43.01
142178,"Soothe Eye Wash 120ml",21.5,2025-09-30,187,1,,,65,MEDIUM,100,2,false,,0,2,43
102968,"CET Toothpaste Poultry - 70g",10.19,2025-01-11,449,4,14,2023-08-17,74,MEDIUM,85.7,7,true,10.6,1,4,42.4
124552,"Gabapentin 100mg",38.4,2021-06-10,1760,5,22.56,2021-05-18,54,MEDIUM,42.9,7,true,13.4,2,3,42.3
132102,"Canine CR Lyme",42.1,2025-08-29,219,1,,,63,MEDIUM,100,1,false,,0,1,42.1
0220,"Blood Collection",41.3,2024-11-20,501,2,,,70,MEDIUM,100,3,false,,0,1,41.3
137954,"PVD Fel OM Crunchy Bites - 51g",13.56,2025-02-01,428,4,6.78,2025-01-13,69,MEDIUM,72.7,11,false,,0,3,40.68
117887,"PVD Fel EN - 156g",61.44,2022-11-15,1237,5,30.72,2021-08-04,75,HIGH,77.8,9,false,,0,2,40.59
107276,"Antirobe Capsule 75 mg",47,2025-01-04,456,3,36.5,2024-12-19,62,MEDIUM,75,4,false,,0,1,40.56
135202,"After surgery wear XXXL",26.6,2024-07-10,634,2,,,41,LOW,50,2,false,,0,1,40.3
134709,"Dermachlor 4% Shampoo- 236ml",38.62,2022-05-20,1416,5,37.12,2021-10-29,70,MEDIUM,71.4,7,false,,0,1,39.78
122471,"RC Urinary s/o SB 2kg",36,2022-02-10,1515,12,33.57,2021-12-15,79,HIGH,72.2,18,false,,0,1,39.18
20,"Adjustments",38.92,2026-02-10,54,1,,,63,MEDIUM,100,1,false,,0,1,38.92
129810,"Malacetic Otic - 237ml",38.81,2026-02-27,37,1,,,63,MEDIUM,100,1,false,,0,1,38.81
METH25LI,"Methimazole 25 mg/ml Liquid",38.64,2025-11-27,129,1,,,63,MEDIUM,100,1,false,,0,1,38.64
123464,"Hilarys Renal Blend 350g",38.5,2019-02-03,2618,3,,,76,HIGH,81.1,37,false,,0,1,38.5
135616,"Posiflush BD Prefilled 10mL NaCL Syr (30",38,2026-01-22,73,1,,,63,MEDIUM,100,1,false,,0,1,38
133022,"Simparica 5mg (1.3-2.5kg) Yellow",40.5,2020-05-28,2138,5,113.5,2019-05-01,48,LOW,33.3,6,true,30.74,2,1,37.7
137312,"Max & Molly 120g",12.43,2025-02-28,401,3,11.19,2024-07-15,77,HIGH,100,6,false,,0,3,37.29
124331,"Furosemide Inj 10mg/ml",32.29,2024-08-26,587,3,32.88,2024-06-01,34,LOW,25,4,true,15.4,1,4,37.1
116588,"Bio Balm K9 - 50mL",89.92,2019-02-03,2618,3,,,38,LOW,33.3,3,false,,0,1,36.84
127758,"Collar Comfy Cone X-Lrg 30cm",36.67,2025-06-03,306,1,,,63,MEDIUM,100,1,false,,0,1,36.67
005424,"Thyro Tab 0.4mg",36.6,2025-01-06,454,4,34.2,2024-12-02,81,HIGH,100,6,false,,0,1,36.6
135953,"Optixcare Eye Health (RED) - 20g",19.48,2024-07-06,638,2,,,41,LOW,50,2,false,,0,1,36.48
128563,"Caninsulin VetPen Needles 100/pkg",46.16,2022-06-24,1381,3,92.32,2022-03-05,59,MEDIUM,66.7,6,false,,0,1,36.37
125194,"Strongid T",12.07,2022-09-13,1300,4,12.15,2022-08-16,35,LOW,16.7,6,true,12.17,1,3,36.35
143732,"Gabapentin 100mg cap",22.5,2025-06-25,284,2,,,34,LOW,33.3,3,false,,0,3,35.6
131236,"MCRC Fel Renal Support S 1.37kg",24.01,2019-02-03,2618,5,,,52,MEDIUM,37.5,8,false,,0,1,35.58
129412,"RC Fel Urinary SO Mod Cal - 1.5kg",35.52,2024-07-04,640,5,71.04,2024-03-27,89,HIGH,100,12,true,31.71,2,1,35.24
135200,"After Surgery Wear - XL",34,2024-01-09,817,2,,,41,LOW,50,2,false,,0,1,35.17
101377,"Maxitrol Opth 0.1% 5mL",35.05,2025-01-03,457,4,42.75,2024-12-14,84,HIGH,100,11,false,,0,1,35.05
1016,"House Call (Kilometer)",60,2024-07-04,640,2,,,52,MEDIUM,66.7,3,false,,0,1,35
140032,"Inhibit Ointment 50gm",41.5,2024-05-08,697,4,,,72,MEDIUM,83.3,6,false,,0,1,34.13
041823,"Pregabalin 20 mg/ml",30.4,2023-04-21,1080,3,,,38,LOW,33.3,3,false,,0,1,34.08
100096,"APO- Theophylline 100mg",13.52,2024-10-09,543,3,15.8,2024-09-28,43,LOW,33.3,9,true,16.95,1,2,33.9
123875,"Rheumocam (Meloxicam) 15ml",32,2019-03-02,2591,17,31.7,2019-02-03,98,HIGH,97.2,72,false,,0,1,33.76
132260,"RC K9 GI Treats - 500g",16.74,2025-01-03,457,3,18.75,2024-10-04,77,HIGH,100,6,false,,0,2,33.48
113182,"Flexadin 30 Tablets",25.4,2020-02-19,2237,4,24.7,2019-02-03,72,MEDIUM,83.3,6,false,,0,1,33.48
141280,"Diphenhydramine 50mg/ml",35.12,2024-11-12,509,3,43.58,2024-10-09,48,LOW,50,4,true,16.25,1,3,33.44
135198,"After Surgery Wear - M/L (15.7in)",21.65,2023-01-31,1160,2,,,41,LOW,50,2,false,,0,1,33.1
100760,"Hydromorphone inj 10 mg/ml",30.47,2023-09-28,920,3,29.6,2023-09-16,44,LOW,40,5,false,,0,1,33
142474,"Omeprazole 20mg TEVA",32.8,2026-02-10,54,1,,,63,MEDIUM,100,1,false,,0,1,32.8
0401,"Mirtazapine 2 mg Tab",16.35,2024-12-21,470,5,16.48,2024-12-19,80,HIGH,76.9,26,false,,0,2,32.7
117713,"Oti-Scrub Foaming Ear Cleaner - 16oz",32.62,2026-02-10,54,1,,,63,MEDIUM,100,1,false,,0,1,32.62
115793,"Milbemax kittens (4mg/10mg)",17.26,2024-06-11,663,5,16.85,2023-10-13,81,HIGH,78.6,28,true,16.3,1,2,32.6
GINHYP,"Gingival Hyperplasia Resection",32.5,2026-03-12,24,1,,,63,MEDIUM,100,1,false,,0,1,32.5
113013,"Clinacin 25mg",31.5,2024-12-14,477,3,30.2,2024-08-20,48,LOW,50,4,false,,0,1,32.1
128175,"Trazodone 100 mg",38.4,2021-05-04,1797,14,18.6,2021-04-06,85,HIGH,75,40,false,,0,1,32
130853,"Insulin Syr SolM U100 0.3ml 30gx1/2'",35,2024-07-18,626,7,27,2022-11-26,82,HIGH,81.8,11,false,,0,1,31.54
124131,"Cefazolin 1g 15 ml per vial",32.92,2019-03-08,2585,14,32.58,2019-02-03,90,HIGH,84.2,38,true,32.92,2,1,30.15
ADDU,"US guided Cystocentesis add on",30,2019-02-03,2618,2,,,74,MEDIUM,90,20,false,,0,1,30
108963,"CET Pet Toothbrush",2.6,2025-03-04,397,4,5.2,2025-02-25,83,HIGH,94.1,17,false,,0,11,28.6
119803,"Prazosin 1mg [Teva]",16.16,2024-08-15,598,4,18.24,2024-05-07,62,MEDIUM,58.3,12,true,8.34,1,3,28.49
125469,"Prednisone 50mg tablet [Teva]",16.7,2022-07-12,1363,6,15.29,2022-05-11,60,MEDIUM,44.4,9,true,13.74,1,2,26.32
125404,"Novamoxin caps 500mg",24,2022-10-05,1278,2,,,41,LOW,50,2,false,,0,1,26.28
0502,"Pregabalin 75 mg",84,2023-05-05,1066,14,,,88,HIGH,86.4,22,false,,0,1,26
IOD,"Gentle Iodine (povidone-iodine topical )",15,2022-07-23,1352,4,,,38,LOW,25,4,false,,0,1,25
137640,"Aventi Joint - 250ml",24.72,2025-01-14,446,3,23.07,2024-11-09,76,HIGH,100,4,false,,0,1,24.72
142304,"Hairball EZ - No Flavour",11.58,2023-09-29,919,6,,,71,MEDIUM,66.7,6,true,12.04,1,2,24.08
128844,"Feliway Spray 20 ml",19.59,2022-05-19,1417,3,17.95,2021-05-15,48,LOW,50,4,true,23.88,2,1,23.88
134073,"Emeraid Intensive Care Carnivore - 100mg",23.63,2025-12-10,116,1,,,63,MEDIUM,100,1,false,,0,1,23.63
144604,"Fluoxetine 10mg caps AURO",21,2025-12-29,97,1,,,63,MEDIUM,100,1,false,,0,1,21
EXONT,"Nail Trim (Exotic) -Tech",20.5,2025-07-24,255,1,,,63,MEDIUM,100,1,false,,0,1,20.5
101386,"Tobrex 0.3% Ointment 3.5",26.72,2019-02-03,2618,8,,,71,MEDIUM,47.9,121,false,,0,1,20.04
STAN1,"Stanhexidine 4% Skin Cleanser Small Bott",10,2019-02-03,2618,16,,,90,HIGH,81.9,116,false,,0,2,20
135726,"Optixcare Eye Lube (GREEN) - 20g",13.99,2024-07-06,638,4,27.98,2023-10-10,81,HIGH,100,6,true,9.99,1,2,19.98
115290,"Pill Pockets K9 Chicken 7.9 oz",9.53,2019-05-18,2514,12,,,80,HIGH,73.7,19,true,9.95,1,2,19.9
TORB,"Torbugesic Inj 10mg/ml  (Price/ml)",29.29,2024-10-13,539,3,31.92,2024-09-19,48,LOW,50,4,false,,0,2,19.45
DOXYC,"Doxycycline 50 mg/ml",13.48,2019-04-04,2558,4,16.14,2019-03-21,35,LOW,14.3,7,true,14.94,2,1,18.51
132146,"Aloe & Oatmeal Conditioner 275ml",11.4,2019-02-03,2618,7,,,42,LOW,14.3,7,false,,0,1,18.03
136203,"CET Veggiedent Chews XS -30s",8.62,2019-02-13,2608,3,,,66,MEDIUM,80,5,true,15.5,2,1,16.78
136849,"XMAS K9 Zippy Paw Reindeer",8,2025-12-05,121,1,,,65,MEDIUM,100,2,false,,0,2,16
142466,"Cephalex 250mg tabs",14.1,2024-10-12,540,5,17.88,2024-09-28,48,LOW,33.3,6,false,,0,1,15.78
131559,"RC Fel Renal Support A - 340g",2.5,2019-02-03,2618,3,,,38,LOW,33.3,3,true,7.1,1,2,14.2
124895,"Insulin Humulin R 100u/ml",55.02,2019-02-03,2618,3,,,38,LOW,33.3,3,false,,0,1,13.16
139520,"CET Fel Intellident Bites",10.75,2022-08-03,1341,2,,,41,LOW,50,2,false,,0,1,12.11
125528,"Atravet 10 mg/ml inj",0.05,2019-02-03,2618,4,,,65,MEDIUM,66.7,9,false,,0,1,12.05
134168,"DECLINED: Bravecto Fel Purple",12,2025-06-27,282,1,,,63,MEDIUM,100,1,false,,0,1,12
125136,"Hibitane Ointment 30g",11.2,2019-02-03,2618,6,,,88,HIGH,84.6,26,false,,0,1,11.2
128915,"Hills K9 k/d Chicken Stew 12.5oz",75,2024-10-11,541,4,12.5,2024-08-12,58,MEDIUM,57.1,7,false,,0,1,11.16
137403,"Hide & Treat PB & Banana 150g",9.8,2020-02-13,2243,2,,,58,MEDIUM,75,4,false,,0,1,11.13
142546,"Max & Molly Minnie Liver Treats",10.47,2025-06-05,304,1,,,63,MEDIUM,100,1,false,,0,1,10.47
130014,"Hills K9 w/d Chkn Stew - 12.5oz",64.13,2024-07-10,634,3,5.83,2024-07-08,41,LOW,33.3,6,true,5.21,1,2,10.42
703518,"Urinary Catheter 10 Fr 12's",5,2025-09-20,197,1,,,65,MEDIUM,100,2,false,,0,2,10
STANH4,"Stanhexidine Scrub - 4OZ",5,2025-09-29,188,1,,,65,MEDIUM,100,2,false,,0,2,10
137401,"Hide and Treat 150g",9.8,2025-11-28,128,1,,,63,MEDIUM,100,1,false,,0,1,9.8
141727,"XMAS K9 Cheeky Chum Red Elf",9.53,2025-12-17,109,1,,,63,MEDIUM,100,1,false,,0,1,9.53
012320,"Tylosin 200mg tabs",106.8,2020-01-27,2260,5,,,40,LOW,20,5,false,,0,1,9.45
920609,"Buster Under Const 7.5  E-collar",7,2022-08-03,1341,5,8.5,2019-02-03,58,MEDIUM,50,6,false,,0,1,9.02
145152,"Pill Pockets K9 Chicken - Tabs 3.2oz",8.16,2026-03-14,22,1,,,63,MEDIUM,100,1,false,,0,1,8.16
123836,"Pill Pockets K9 PeanutButter - Tabs",7.92,2024-11-02,519,4,7.57,2023-01-13,81,HIGH,100,6,false,,0,1,7.92
123835,"Pill Pockets K9 Hickory - Tabs",7.92,2025-04-01,369,1,,,65,MEDIUM,100,2,false,,0,1,7.92
128800,"Christmas Toy Small",6,2025-12-13,113,1,,,63,MEDIUM,100,1,false,,0,1,6
703419,"Urinary Catheter 8 Fr 12's",2.5,2025-09-20,197,1,,,65,MEDIUM,100,2,false,,0,2,5
107800,"Syringe Ideal 20cc slip",2.16,2025-09-20,197,1,,,65,MEDIUM,100,2,false,,0,2,4.32
139151,"Greenie feline dental catnip 2.1oz",2.29,2020-08-07,2067,5,,,67,MEDIUM,66.7,6,false,,0,1,3.97
XMASMED,"Christmas Toy Medium",3,2025-12-13,113,1,,,63,MEDIUM,100,1,false,,0,1,3
STANH2,"Stanhexidine Scrub - 2OZ",2.8,2025-09-18,199,1,,,63,MEDIUM,100,1,false,,0,1,2.8
ECO,"Paper bag large",0.25,2025-02-21,408,2,,,72,MEDIUM,100,4,false,,0,2,0.5
4848130,"Mirtazapine 40mg/ml (1 ml syringe)",34.8,2024-10-15,537,5,34.1,2024-09-27,78,HIGH,81.8,11,true,28.92,1,0,0
GAB,"Gabapentin 50mg/ml",57,2022-03-16,1481,3,24,2022-03-08,39,LOW,28.6,7,false,,0,0,0
133897,"CAT LITTER WORLD BEST 28lbs",50.66,2023-09-21,927,7,,,94,HIGH,100,15,false,,0,0,0
CERENIA,"Cerenia injectable FOR SURGERIES ONLY",45.9,2023-12-05,852,4,44.2,2023-11-22,36,LOW,20,5,true,17,1,0,0
129654,"NEXGARD Purple (11-27.2kg)",135.9,2024-06-06,668,2,57,2019-05-24,72,MEDIUM,100,4,true,22.65,1,0,0
VACC9,"Adult Da2Ppv",38,2020-03-05,2222,4,35,2019-03-02,84,HIGH,100,11,true,81,1,0,0
1007,"Kennel  Cough   Combined",27,2019-02-03,2618,1,,,48,LOW,40,802,true,30,1,0,0
1002,"Rabies 3 Combined",27,2019-02-03,2618,2,,,51,MEDIUM,38.4,1001,false,,0,0,0
SENT2,"Sentinel White (23-45kg)",23.09,2019-02-03,2618,1,,,64,MEDIUM,69.2,52,false,,0,0,0
GERIU,"Bloodwork - Geriatric Panel  + U/A",316.5,2024-02-05,790,12,284.85,2024-01-19,96,HIGH,93.5,123,false,,0,0,0
GAP,"Gabapentin 100mg/ml water based",31.2,2023-08-16,963,6,50.4,2023-07-22,67,MEDIUM,39.6,48,true,48.6,2,0,0
PREDLIQ,"Prednisolone 10mg/ml",32.8,2022-11-24,1228,11,72,2022-11-23,64,MEDIUM,44.4,18,true,32.8,2,0,0
120570,"Zylkene 75mg",26.5,2019-02-03,2618,3,,,49,LOW,40,15,true,22.82,1,0,0
SMETRO,"Metronidazole 100 mg/ml",16.9,2022-08-09,1335,3,15.5,2022-07-27,31,LOW,14.3,7,true,18,2,0,0
MEDI 14,"MCRC K9 Development 4 kg",32.2,2019-02-03,2618,1,,,41,LOW,27.7,83,false,,0,0,0
1013,"Rabies 1 Year Combined",27,2019-02-03,2618,1,,,47,LOW,38.9,907,false,,0,0,0
CANIN4,"Canine Hills t/d 2.27 kg",21.46,2019-02-03,2618,1,,,41,LOW,27.5,80,false,,0,0,0
CANIN23,"Canine Hills Metabolic 6 lbs",30.77,2019-02-03,2618,1,,,47,LOW,38.8,134,false,,0,0,0
0030,"Surgical Fee Standard (instr/packs/ster)",58.25,2024-04-03,732,8,50,2019-08-09,94,HIGH,96,25,false,,0,0,0
15,"40% discount services",4.37,2019-02-03,2618,2,,,34,LOW,33.3,3,true,92,1,0,0
129478,"PVD K9 Ess Care Senior - 8kg",88.3,2024-03-13,753,6,247.56,2024-01-11,90,HIGH,93.8,16,false,,0,0,0
VACCLE,"Kitten (3) FVRCP",30,2022-05-25,1411,27,38,2022-02-11,99,HIGH,97.5,157,false,,0,0,0
GABBA50,"Gabapentin 50mg",34,2023-11-17,870,6,78,2023-10-12,50,MEDIUM,28.6,7,true,67.8,1,0,0
137837,"Meloxidin oral suspension 100 mls",140,2022-12-10,1212,20,134,2022-12-01,92,HIGH,85.7,49,false,,0,0,0
1372861,"K9 Hills adult small bites 15 lbs",78.47,2024-10-11,541,1,,,68,MEDIUM,100,4,false,,0,0,0
118446,"Azithromycin Liquid 20mg/mL 300mg",21.49,2021-04-01,1830,3,15.17,2021-03-19,66,MEDIUM,80,5,false,,0,0,0
114565,"Enisyl -F Pump - 100ml",33.42,2024-10-01,551,3,32.15,2024-09-17,75,HIGH,90.9,11,false,,0,0,0
123918,"Epakitin Powder - 60g",23.56,2024-06-13,661,3,,,56,MEDIUM,66.7,3,false,,0,0,0
135957,"Alfaxan 10mg/ml",38.72,2022-08-31,1313,9,,,79,HIGH,66.7,33,true,58.16,1,0,0
132099,"APOQUEL Tabs 3.6mg -100's",283.64,2023-01-31,1160,4,247.42,2022-09-08,47,LOW,40,5,true,306.41,1,0,0
ALLERGY,"Allergy Panel  K9 Environmental - Idexx",364,2021-01-19,1902,5,,,62,MEDIUM,60,5,true,589.9,1,0,0
132423,"RC K9 Urinary SO Mod Cal - 355g",62.16,2023-10-02,916,4,31.08,2023-08-11,58,MEDIUM,60,5,true,56.04,2,0,0
MEDI 44,"MCRC K9 Urinary So 3 kg",30.1,2019-02-03,2618,1,,,45,LOW,34.7,288,true,32.39,1,0,0
20192019,"Cisapride 10 mg/ml",51.6,2024-08-15,598,7,158.4,2024-07-19,73,MEDIUM,66.7,9,false,,0,0,0
GENERAL2,"General Health (15) CBC LYTES",214,2024-06-08,666,10,165,2022-03-25,97,HIGH,100,28,false,,0,0,0
141038,"Pregabalin 25mg Caps",71.4,2024-06-08,666,3,31.8,2023-09-01,68,MEDIUM,83.3,6,false,,0,0,0
PIM,"Pimobendan 5mg/ml Summit",60,2024-06-08,666,3,40.8,2024-05-23,60,MEDIUM,63.6,11,true,27.12,2,0,0
109630,"Gabapentin 100mg cap",13.6,2023-10-03,915,3,18,2023-09-21,33,LOW,20,5,true,28.8,1,0,0
118693,"Dexdomitor Inj",30.56,2024-06-08,666,3,30.95,2024-03-23,58,MEDIUM,62.5,8,true,68.03,1,0,0
1203,"Omeprazole 20 mg/ml",17.55,2024-11-08,513,3,20.88,2024-10-19,67,MEDIUM,77.8,9,true,16.6,1,0,0
AXCAN,"Sulcrate Susp.",21,2019-02-03,2618,1,,,32,LOW,10.4,106,false,,0,0,0
CANIN46,"Canine Hills w/d 8.5lbs",30.87,2019-02-03,2618,1,,,39,LOW,23.4,188,false,,0,0,0
AXCAN PH,"Ursodiol 250 mg Tablets",24.96,2019-02-03,2618,1,,,42,LOW,34.5,29,false,,0,0,0
T760,"Urinalysis In House(W Collection)",93,2019-02-03,2618,1,,,44,LOW,32.6,218,false,,0,0,0
FORT,"Fortekor 2.5mg tablets",37.9,2019-02-03,2618,1,,,40,LOW,25.5,110,false,,0,0,0
0025AB,"Rescue K9 Spay  > 30 kg",259,2019-02-03,2618,1,,,68,MEDIUM,90.9,11,false,,0,0,0
0026AB,"Rescue K9 Neuter  >  25 Kg",210,2019-02-03,2618,1,,,61,MEDIUM,65.2,46,false,,0,0,0
SCARS11,"Rescue E-Collar",10,2019-02-03,2618,1,,,66,MEDIUM,73.9,180,false,,0,0,0
SCARS10,"Rescue Pain Medication",15,2019-02-03,2618,1,,,66,MEDIUM,73.5,234,false,,0,0,0
0310,"Potassium Bromide 600 mg cps",124,2022-10-05,1278,10,118,2022-08-12,79,HIGH,73.3,15,true,132,2,0,0
123183,"MCRC K9 Diabetic 8kg",122.43,2024-06-10,664,3,116.61,2024-02-12,77,HIGH,100,5,false,,0,0,0
121485,"Snap Fpl - in house",59,2022-08-03,1341,30,53.1,2022-07-13,99,HIGH,97.5,160,false,,0,0,0
AVENTI,"Aventiclav 125mg tablet",30,2019-02-03,2618,1,,,46,LOW,36.9,65,false,,0,0,0
101640,"KMR Kitten Milk Replacer - 325ml",7.1,2024-06-29,645,1,,,65,MEDIUM,100,2,false,,0,0,0
139571,"Flexadin advanced cat 30 chews",41.24,2022-07-22,1353,9,39.2,2022-04-12,91,HIGH,94.4,18,true,29.46,1,0,0
1406,"Antirobe Aquadrops 25 mg/ml 20 ml Bottle",44.22,2019-02-03,2618,1,,,65,MEDIUM,71.2,52,false,,0,0,0
FEL6,"Feline Hills Td 4.5kg",49.94,2019-02-03,2618,1,,,39,LOW,23.7,249,false,,0,0,0
CLIN1,"Clinacin 25 Mg",19.7,2019-02-03,2618,1,,,37,LOW,20,50,false,,0,0,0
RHEUM,"Rheumocam 1.5 mg/ml in clinic",13.24,2020-02-14,2242,4,17.61,2020-02-13,45,LOW,17.1,35,false,,0,0,0
135817,"PVD Fel NF (Early Care) - 156g",87.84,2024-05-22,683,5,83.52,2023-09-25,83,HIGH,87.5,16,false,,0,0,0
106331,"Breathalyser K9 Water Additive - 500ml",24.44,2024-06-11,663,3,,,48,LOW,50,4,false,,0,0,0
137967,"Catit Lickables Assorted - 12pk",5.74,2021-04-07,1824,6,,,56,MEDIUM,37.5,8,false,,0,0,0
SCRUBS,"Scrubs staff",55.7,2019-02-03,2618,1,,,65,MEDIUM,100,2,false,,0,0,0
1-410,"Dental Extractions Deciduous Canines",160,2022-11-15,1237,3,320,2022-09-22,65,MEDIUM,72.7,11,true,160,1,0,0
CONV1,"Convenia/ ml  For Pets Less Then 10 kg",45,2019-02-03,2618,1,,,29,LOW,5.8,604,false,,0,0,0
ACE,"Acepromazine Tab  10 Mg",15,2019-02-03,2618,1,,,38,LOW,25,40,false,,0,0,0
NOVO4,"Novo-Lexin 250mg",35.94,2019-02-03,2618,1,,,30,LOW,8.3,96,false,,0,0,0
MED 201,"MCRC Feline Urinary SO 3.5 kg",43.05,2019-02-03,2618,1,,,37,LOW,20,666,false,,0,0,0
PRE,"Preanesthetic  Bloodwork",90,2019-02-03,2618,2,,,45,LOW,28.2,865,false,,0,0,0
401,"Dental Prophylaxis(Ex-Probing-C-Scaling-",425,2021-02-19,1871,26,212.5,2021-01-23,95,HIGH,91.8,97,false,,0,0,0
FLUD,"IV Fluids For Dentistry",55,2019-02-03,2618,1,,,72,MEDIUM,83.3,180,false,,0,0,0
0021,"Dewclaw Removal Add On With Surgery",125,2019-02-03,2618,3,,,60,MEDIUM,48.2,85,true,60,1,0,0
BLOODC,"Blood and urine collection(cysto/cath)",65,2023-08-19,960,9,50,2023-07-04,94,HIGH,100,18,false,,0,0,0
125415,"Ampicillin Na Inj 1gm Teva per vial",45.12,2024-08-10,603,3,37.06,2024-08-09,59,MEDIUM,48.6,37,true,35.04,1,0,0
131739,"Metronidazole 5mg/ml Inj.",38.72,2022-09-24,1289,3,30.8,2022-08-19,55,MEDIUM,60,5,true,33.05,1,0,0
99003527,"Acepromazine Maleate 10mg/ml Summit",12.17,2024-06-13,661,2,,,41,LOW,50,2,true,12.1,1,0,0
123981,"ATOPICA Liquid 17ml (100 mg/ml)",160,2020-12-03,1949,3,155,2019-11-20,77,HIGH,100,6,true,193.24,1,0,0
PVD,"PVD Feline DM 156 G (Can)",45.12,2019-02-03,2618,1,,,40,LOW,25.7,534,true,48.24,1,0,0
FEL23,"Feline Hills Cd Multicare 4lb",22.4,2019-02-03,2618,1,,,41,LOW,27.4,62,false,,0,0,0
DRONTAL2,"Drontal Plus 68 mg tablet",40.55,2019-02-03,2618,1,,,35,LOW,15.9,760,true,46.26,1,0,0
MEDI  51,"MCRC K9 Weight Control 8 kg",54.25,2019-02-03,2618,1,,,38,LOW,29.2,24,false,,0,0,0
PRED2,"Prednisone 1mg tablets",22.5,2019-02-03,2618,1,,,48,LOW,66.7,3,false,,0,0,0
FASP,"DENTAL-CLEANING PACKAGE( FASP)",450,2019-02-03,2618,2,,,70,MEDIUM,72.8,849,true,162.5,1,0,0
SDOXY,"Doxycycline 100mg/ml (Summit)",33,2019-02-03,2618,1,,,40,LOW,50,4,false,,0,0,0
HYDROXI,"Hydroxizine 25 mg Tablet",20.12,2019-02-03,2618,1,,,43,LOW,41.2,17,false,,0,0,0
9754,"UPC + UA",90,2019-02-03,2618,1,,,48,LOW,66.7,3,false,,0,0,0
142123,"Hills Fel Onc care chicken stew - 2.9 oz",76.8,2024-06-26,648,1,,,48,LOW,66.7,3,false,,0,0,0
142122,"Hills fel ONC care w chicken 7lb",80,2024-06-15,659,1,,,65,MEDIUM,100,2,false,,0,0,0
CBC 1,"CBC (In Clinic)",77.9,2023-12-08,849,10,66.1,2023-09-07,90,HIGH,93.3,15,false,,0,0,0
PILL 4,"Pill Pockets  Feline Salmon-1.6 Oz",6.7,2019-02-03,2618,1,,,37,LOW,21.4,42,false,,0,0,0
8514,"Revolution Dog 5.1-10 kg (Brown)",22,2019-02-03,2618,1,,,48,LOW,40.6,69,false,,0,0,0
RES1,"Rescue Blood collection",15,2019-02-03,2618,1,,,79,HIGH,100,36,false,,0,0,0
